Typical Measured Spectrum of Semrock FF02-409/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
392.6	4.4437e-06
392.8	4.2885e-06
393.0	4.1387e-06
393.2	3.9942e-06
393.4	3.8547e-06
393.6	3.7201e-06
393.8	3.5902e-06
394.0	3.4648e-06
394.2	3.3438e-06
394.4	3.227e-06
394.6	2.8732e-06
394.8	2.4957e-06
395.0	2.1679e-06
395.2	1.883e-06
395.4	1.6356e-06
395.6	1.4207e-06
395.8	1.2341e-06
396.0	1.0719e-06
396.2	9.3111e-07
396.4	8.0878e-07
396.6	7.0252e-07
396.8	6.1022e-07
397.0	5.3005e-07
397.2	3.6776e-07
397.4	2.1152e-07
397.6	1.2233e-07
397.8	1.2145e-07
398.0	1.2058e-07
398.2	1.8948e-07
398.4	4.7701e-07
398.6	5.156e-07
398.8	5.5731e-07
399.0	4.1934e-07
399.2	2.1965e-07
399.4	1.1505e-07
399.6	1.1131e-07
399.8	1.1006e-07
400.0	1.0879e-07
400.2	1.0752e-07
400.4	1.8255e-07
400.6	3.1249e-07
400.8	2.6847e-07
401.0	1.0461e-07
401.2	1.5989e-07
401.4	2.4436e-07
401.6	2.441e-07
401.8	1.5663e-07
402.0	1.005e-07
402.2	2.0423e-07
402.4	2.6762e-07
402.6	2.2574e-07
402.8	1.9042e-07
403.0	1.4363e-07
403.2	1.0821e-07
403.4	9.2543e-08
403.6	9.1828e-08
403.8	9.0991e-08
404.0	9.0162e-08
404.2	1.3366e-07
404.4	3.0135e-07
404.6	6.7941e-07
404.8	1.7322e-07
405.0	1.3904e-07
405.2	3.4202e-07
405.4	8.413e-07
405.6	5.216e-07
405.8	3.2116e-07
406.0	2.1624e-07
406.2	1.6175e-07
406.4	1.2191e-07
406.6	9.1878e-08
406.8	7.9252e-08
407.0	7.8672e-08
407.2	7.8095e-08
407.4	1.2302e-07
407.6	2.045e-07
407.8	3.5117e-07
408.0	6.0303e-07
408.2	5.0493e-07
408.4	4.1664e-07
408.6	3.9556e-07
408.8	4.4596e-07
409.0	5.4079e-07
409.2	6.5579e-07
409.4	8.875e-07
409.6	1.356e-06
409.8	2.0718e-06
410.0	3.2435e-06
410.2	5.1011e-06
410.4	8.0468e-06
410.6	1.2694e-05
410.8	1.9538e-05
411.0	3.0049e-05
411.2	5.0505e-05
411.4	9.4686e-05
411.6	1.6044e-04
411.8	2.7185e-04
412.0	4.7931e-04
412.2	8.7867e-04
412.4	0.00161
412.6	0.00306
412.8	0.00571
413.0	0.0113
413.2	0.02391
413.4	0.05338
413.6	0.12326
413.8	0.27656
414.0	0.34605
414.2	0.60971
414.4	0.82348
414.6	0.91885
414.8	0.93816
415.0	0.94065
415.2	0.94493
415.4	0.94959
415.6	0.95487
415.8	0.95644
416.0	0.95696
416.2	0.95648
416.4	0.95671
416.6	0.95902
416.8	0.95938
417.0	0.96139
417.2	0.96297
417.4	0.96312
417.6	0.96398
417.8	0.96249
418.0	0.96246
418.2	0.96
418.4	0.959
418.6	0.95953
418.8	0.95895
419.0	0.96063
419.2	0.96027
419.4	0.96275
419.6	0.96368
419.8	0.96476
420.0	0.96509
420.2	0.96601
420.4	0.9665
420.6	0.96681
420.8	0.96342
421.0	0.96223
421.2	0.96116
421.4	0.96098
421.6	0.96008
421.8	0.95837
422.0	0.95824
422.2	0.95906
422.4	0.95949
422.6	0.95974
422.8	0.96228
423.0	0.96282
423.2	0.96307
423.4	0.9646
423.6	0.96464
423.8	0.965
424.0	0.96481
424.2	0.96551
424.4	0.96484
424.6	0.96293
424.8	0.96352
425.0	0.96119
425.2	0.96126
425.4	0.95964
425.6	0.95956
425.8	0.95936
426.0	0.95823
426.2	0.95923
426.4	0.95898
426.6	0.95932
426.8	0.96027
427.0	0.96262
427.2	0.96518
427.4	0.96491
427.6	0.96404
427.8	0.96481
428.0	0.96548
428.2	0.96394
428.4	0.96373
428.6	0.96356
428.8	0.96338
429.0	0.96158
429.2	0.96102
429.4	0.96017
429.6	0.95912
429.8	0.95883
430.0	0.95849
430.2	0.95791
430.4	0.95746
430.6	0.95772
430.8	0.95735
431.0	0.95768
431.2	0.95865
431.4	0.95853
431.6	0.9595
431.8	0.95974
432.0	0.96065
432.2	0.96122
432.4	0.96144
432.6	0.96163
432.8	0.96208
433.0	0.96221
433.2	0.96298
433.4	0.96186
433.6	0.96072
433.8	0.9606
434.0	0.95991
434.2	0.96026
434.4	0.95911
434.6	0.958
434.8	0.95831
435.0	0.95731
435.2	0.95643
