Typical Measured Spectrum of Semrock FF01-590/104 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
341.4	4.7884e-07
341.6	4.6875e-07
341.8	4.7262e-07
342.0	4.86e-07
342.2	4.9976e-07
342.4	5.1391e-07
342.6	5.2846e-07
342.8	5.4342e-07
343.0	5.5881e-07
343.2	5.7463e-07
343.4	5.909e-07
343.6	6.0763e-07
343.8	6.2484e-07
344.0	6.4253e-07
344.2	6.6072e-07
344.4	6.7942e-07
344.6	6.9866e-07
344.8	7.1844e-07
345.0	7.3878e-07
345.2	7.597e-07
345.4	7.8121e-07
345.6	8.0333e-07
345.8	8.2607e-07
346.0	8.4946e-07
346.2	8.7351e-07
346.4	8.6971e-07
346.6	8.1554e-07
346.8	7.6474e-07
347.0	7.171e-07
347.2	6.7244e-07
347.4	6.3055e-07
347.6	5.9128e-07
347.8	5.5445e-07
348.0	5.1991e-07
348.2	4.8753e-07
348.4	4.5716e-07
348.6	4.2868e-07
348.8	4.0198e-07
349.0	3.7694e-07
349.2	3.5346e-07
349.4	3.3145e-07
349.6	3.108e-07
349.8	2.9144e-07
350.0	2.7329e-07
350.2	2.5627e-07
350.4	2.403e-07
350.6	2.2534e-07
350.8	2.113e-07
351.0	1.9943e-07
351.2	1.9785e-07
351.4	1.9628e-07
351.6	1.9472e-07
351.8	1.9318e-07
352.0	1.9165e-07
352.2	1.9013e-07
352.4	1.8862e-07
352.6	1.8713e-07
352.8	1.8564e-07
353.0	1.8417e-07
353.2	1.8271e-07
353.4	1.8126e-07
353.6	1.7983e-07
353.8	1.784e-07
354.0	1.7699e-07
354.2	1.7558e-07
354.4	1.7419e-07
354.6	1.7281e-07
354.8	1.7144e-07
355.0	1.7008e-07
355.2	1.6873e-07
355.4	1.674e-07
355.6	1.6607e-07
355.8	1.7222e-07
356.0	1.7959e-07
356.2	1.8727e-07
356.4	1.9527e-07
356.6	2.0362e-07
356.8	2.1233e-07
357.0	2.214e-07
357.2	2.3087e-07
357.4	2.4074e-07
357.6	2.5103e-07
357.8	2.6176e-07
358.0	2.7296e-07
358.2	2.8463e-07
358.4	2.9679e-07
358.6	3.0948e-07
358.8	3.2272e-07
359.0	3.3651e-07
359.2	3.509e-07
359.4	3.659e-07
359.6	3.8155e-07
359.8	3.9786e-07
360.0	4.1487e-07
360.2	4.3261e-07
360.4	4.2123e-07
360.6	3.9684e-07
360.8	3.7386e-07
361.0	3.5222e-07
361.2	3.3182e-07
361.4	3.1261e-07
361.6	2.9451e-07
361.8	2.7746e-07
362.0	2.614e-07
362.2	2.4626e-07
362.4	2.32e-07
362.6	2.1857e-07
362.8	2.0592e-07
363.0	1.9399e-07
363.2	1.8276e-07
363.4	1.7218e-07
363.6	1.6221e-07
363.8	1.5282e-07
364.0	1.4397e-07
364.2	1.3564e-07
364.4	1.2778e-07
364.6	1.2039e-07
364.8	1.1342e-07
365.0	1.0859e-07
365.2	1.0961e-07
365.4	1.1064e-07
365.6	1.1168e-07
365.8	1.1273e-07
366.0	1.1378e-07
366.2	1.1485e-07
366.4	1.1593e-07
366.6	1.1701e-07
366.8	1.1811e-07
367.0	1.1922e-07
367.2	1.2033e-07
367.4	1.2146e-07
367.6	1.226e-07
367.8	1.2375e-07
368.0	1.2491e-07
368.2	1.2608e-07
368.4	1.335e-07
368.6	1.4187e-07
368.8	1.5076e-07
369.0	1.6021e-07
369.2	1.7025e-07
369.4	1.8092e-07
369.6	1.9225e-07
369.8	2.043e-07
370.0	2.171e-07
370.2	2.3071e-07
370.4	2.4517e-07
370.6	2.6053e-07
370.8	2.7686e-07
371.0	2.9421e-07
371.2	3.1264e-07
371.4	3.3224e-07
371.6	3.5213e-07
371.8	3.28e-07
372.0	3.0553e-07
372.2	2.846e-07
372.4	2.651e-07
372.6	2.4694e-07
372.8	2.3002e-07
373.0	2.1426e-07
373.2	1.9958e-07
373.4	1.8591e-07
373.6	1.7317e-07
373.8	1.6131e-07
374.0	1.5025e-07
374.2	1.3996e-07
374.4	1.3037e-07
374.6	1.2144e-07
374.8	1.1312e-07
375.0	1.0615e-07
375.2	1.0545e-07
375.4	1.0476e-07
375.6	1.0407e-07
375.8	1.0338e-07
376.0	1.027e-07
376.2	1.0202e-07
376.4	1.0135e-07
376.6	1.0068e-07
376.8	1.0002e-07
377.0	9.9363e-08
377.2	9.8708e-08
377.4	9.8058e-08
377.6	9.7412e-08
377.8	9.677e-08
378.0	9.6133e-08
378.2	9.5499e-08
378.4	9.6567e-08
378.6	1.0398e-07
378.8	1.1196e-07
379.0	1.2055e-07
379.2	1.2981e-07
379.4	1.3977e-07
379.6	1.505e-07
379.8	1.6205e-07
380.0	1.7449e-07
380.2	1.8788e-07
380.4	2.023e-07
380.6	2.1783e-07
380.8	2.3455e-07
381.0	2.5255e-07
381.2	2.7193e-07
381.4	2.9281e-07
381.6	3.1528e-07
381.8	3.3034e-07
382.0	3.2746e-07
382.2	3.2461e-07
382.4	3.2179e-07
382.6	3.1898e-07
382.8	3.1621e-07
383.0	3.1345e-07
383.2	3.1072e-07
383.4	3.0802e-07
383.6	3.0534e-07
383.8	3.0268e-07
384.0	3.0004e-07
384.2	2.9743e-07
384.4	2.9484e-07
384.6	2.9227e-07
384.8	2.8973e-07
385.0	2.8721e-07
385.2	2.796e-07
385.4	2.6612e-07
385.6	2.5328e-07
385.8	2.4107e-07
386.0	2.2945e-07
386.2	2.1838e-07
386.4	2.0785e-07
386.6	1.9783e-07
386.8	1.8829e-07
387.0	1.7921e-07
387.2	1.7057e-07
387.4	1.6235e-07
387.6	1.5452e-07
387.8	1.4707e-07
388.0	1.3998e-07
388.2	1.3323e-07
388.4	1.268e-07
388.6	1.2086e-07
388.8	1.1533e-07
389.0	1.1004e-07
389.2	1.05e-07
389.4	1.0019e-07
389.6	9.5605e-08
389.8	9.1225e-08
390.0	8.7047e-08
390.2	8.306e-08
390.4	7.9255e-08
390.6	7.5625e-08
390.8	7.2161e-08
391.0	6.8855e-08
391.2	6.5702e-08
391.4	6.2692e-08
391.6	5.982e-08
391.8	5.708e-08
392.0	1.4877e-08
392.2	1.4777e-08
392.4	1.4677e-08
392.6	1.4578e-08
392.8	1.448e-08
393.0	1.4348e-08
393.2	1.419e-08
393.4	1.4035e-08
393.6	1.3881e-08
393.8	1.3728e-08
394.0	1.3578e-08
394.2	1.3429e-08
394.4	1.3281e-08
394.6	1.3136e-08
394.8	1.2992e-08
395.0	1.2849e-08
395.2	1.2708e-08
395.4	1.2569e-08
395.6	1.2431e-08
395.8	1.2294e-08
396.0	1.216e-08
396.2	1.2026e-08
396.4	1.1894e-08
396.6	1.1764e-08
396.8	1.168e-08
397.0	1.1597e-08
397.2	1.1514e-08
397.4	1.1432e-08
397.6	1.135e-08
397.8	1.1269e-08
398.0	1.1188e-08
398.2	1.1108e-08
398.4	1.1029e-08
398.6	1.095e-08
398.8	1.0872e-08
399.0	1.0794e-08
399.2	1.0717e-08
399.4	1.064e-08
399.6	1.0564e-08
399.8	1.0489e-08
400.0	1.0414e-08
400.2	1.034e-08
400.4	1.0911e-08
400.6	1.2334e-08
400.8	1.3943e-08
401.0	1.5762e-08
401.2	1.7818e-08
401.4	2.0142e-08
401.6	2.2769e-08
401.8	2.5739e-08
402.0	2.9096e-08
402.2	3.2891e-08
402.4	3.7181e-08
402.6	4.203e-08
402.8	4.7512e-08
403.0	5.371e-08
403.2	6.0715e-08
403.4	6.8634e-08
403.6	7.7586e-08
403.8	8.7706e-08
404.0	9.9145e-08
404.2	1.0e-07
404.4	1.0e-07
404.6	1.0e-07
404.8	1.0e-07
405.0	1.0e-07
405.2	1.0e-07
405.4	1.0e-07
405.6	1.0e-07
405.8	1.0e-07
406.0	1.0e-07
406.2	1.0e-07
406.4	1.0e-07
406.6	1.0e-07
406.8	1.0e-07
407.0	1.0e-07
407.2	1.0e-07
407.4	1.0e-07
407.6	1.0e-07
407.8	1.0e-07
408.0	1.0e-07
408.2	1.0e-07
408.4	1.0e-07
408.6	1.0e-07
408.8	1.0e-07
409.0	1.0e-07
409.2	1.0e-07
409.4	1.0e-07
409.6	1.0e-07
409.8	1.0e-07
410.0	1.0e-07
410.2	1.0e-07
410.4	1.0e-07
410.6	1.0e-07
410.8	1.0e-07
411.0	1.0e-07
411.2	1.0e-07
411.4	1.0e-07
411.6	1.0e-07
411.8	1.0e-07
412.0	1.0e-07
412.2	1.0e-07
412.4	1.0e-07
412.6	1.0e-07
412.8	1.0e-07
413.0	1.0e-07
413.2	1.0e-07
413.4	1.0e-07
413.6	1.0e-07
413.8	1.0e-07
414.0	1.0e-07
414.2	1.0e-07
414.4	1.0e-07
414.6	1.0e-07
414.8	1.0e-07
415.0	1.0e-07
415.2	1.0e-07
415.4	1.0e-07
415.6	1.0e-07
415.8	1.0e-07
416.0	1.0e-07
416.2	1.0e-07
416.4	1.0e-07
416.6	1.0e-07
416.8	1.0e-07
417.0	1.0e-07
417.2	1.0e-07
417.4	1.0e-07
417.6	1.0e-07
417.8	1.0e-07
418.0	1.0e-07
418.2	1.0e-07
418.4	1.0e-07
418.6	1.0e-07
418.8	1.0e-07
419.0	1.0e-07
419.2	1.0e-07
419.4	1.0e-07
419.6	1.0e-07
419.8	1.0e-07
420.0	1.0e-07
420.2	1.0e-07
420.4	1.0e-07
420.6	1.0e-07
420.8	1.0e-07
421.0	1.0e-07
421.2	1.0e-07
421.4	1.0e-07
421.6	1.0e-07
421.8	1.0e-07
422.0	1.0e-07
422.2	1.0e-07
422.4	1.0e-07
422.6	1.0e-07
422.8	1.0e-07
423.0	1.0e-07
423.2	1.0e-07
423.4	1.0e-07
423.6	1.0e-07
423.8	1.0e-07
424.0	1.0e-07
424.2	1.0e-07
424.4	1.0e-07
424.6	1.0e-07
424.8	1.0e-07
425.0	1.0e-07
425.2	1.0e-07
425.4	1.0e-07
425.6	1.0e-07
425.8	1.0e-07
426.0	1.0e-07
426.2	1.0e-07
426.4	1.0e-07
426.6	1.0e-07
426.8	1.0e-07
427.0	1.0e-07
427.2	1.0e-07
427.4	1.0e-07
427.6	1.0e-07
427.8	1.0e-07
428.0	1.0e-07
428.2	1.0e-07
428.4	1.0e-07
428.6	1.0e-07
428.8	1.0e-07
429.0	1.0e-07
429.2	1.0e-07
429.4	1.0e-07
429.6	1.0e-07
429.8	1.0e-07
430.0	1.0e-07
430.2	9.8771e-08
430.4	8.8266e-08
430.6	7.8879e-08
430.8	7.049e-08
431.0	6.2993e-08
431.2	5.6294e-08
431.4	5.0307e-08
431.6	4.4956e-08
431.8	4.0175e-08
432.0	3.5902e-08
432.2	3.2084e-08
432.4	2.8672e-08
432.6	2.5622e-08
432.8	2.2897e-08
433.0	2.0462e-08
433.2	1.8286e-08
433.4	1.6341e-08
433.6	1.4603e-08
433.8	1.305e-08
434.0	1.2699e-08
434.2	1.3127e-08
434.4	1.357e-08
434.6	1.4027e-08
434.8	1.45e-08
435.0	1.4988e-08
435.2	1.5494e-08
435.4	1.6016e-08
435.6	1.6556e-08
435.8	1.7114e-08
436.0	1.769e-08
436.2	1.8287e-08
436.4	1.8903e-08
436.6	1.954e-08
436.8	2.0199e-08
437.0	2.0879e-08
437.2	2.1583e-08
437.4	2.2311e-08
437.6	2.2949e-08
437.8	2.2112e-08
438.0	2.1305e-08
438.2	2.0528e-08
438.4	1.9779e-08
438.6	1.9057e-08
438.8	1.8362e-08
439.0	1.7692e-08
439.2	1.7046e-08
439.4	1.6424e-08
439.6	1.5825e-08
439.8	1.5247e-08
440.0	1.4691e-08
440.2	1.4155e-08
440.4	1.3638e-08
440.6	1.3141e-08
440.8	1.2661e-08
441.0	1.2199e-08
441.2	1.1754e-08
441.4	1.2089e-08
441.6	1.306e-08
441.8	1.411e-08
442.0	1.5244e-08
442.2	1.6469e-08
442.4	1.7792e-08
442.6	1.9222e-08
442.8	2.0767e-08
443.0	2.2435e-08
443.2	2.4238e-08
443.4	2.6186e-08
443.6	2.8291e-08
443.8	3.0564e-08
444.0	3.302e-08
444.2	3.5674e-08
444.4	3.8541e-08
444.6	4.1638e-08
444.8	4.4984e-08
445.0	4.8461e-08
445.2	5.0406e-08
445.4	5.2429e-08
445.6	5.4533e-08
445.8	5.6721e-08
446.0	5.8998e-08
446.2	6.1366e-08
446.4	6.3828e-08
446.6	6.639e-08
446.8	6.9054e-08
447.0	7.1826e-08
447.2	7.4709e-08
447.4	7.7707e-08
447.6	8.0825e-08
447.8	8.4069e-08
448.0	8.7443e-08
448.2	9.0953e-08
448.4	9.4603e-08
448.6	9.84e-08
448.8	1.0e-07
449.0	1.0e-07
449.2	1.0e-07
449.4	1.0e-07
449.6	1.0e-07
449.8	1.0e-07
450.0	1.0e-07
450.2	1.0e-07
450.4	1.0e-07
450.6	1.0e-07
450.8	1.0e-07
451.0	1.0e-07
451.2	1.0e-07
451.4	1.0e-07
451.6	1.0e-07
451.8	1.0e-07
452.0	1.0e-07
452.2	1.0e-07
452.4	1.0e-07
452.6	1.0e-07
452.8	1.0e-07
453.0	1.0e-07
453.2	1.0e-07
453.4	1.0e-07
453.6	1.0e-07
453.8	1.0e-07
454.0	1.0e-07
454.2	1.0e-07
454.4	1.0e-07
454.6	1.0e-07
454.8	1.0e-07
455.0	1.0e-07
455.2	1.0e-07
455.4	1.0e-07
455.6	1.0e-07
455.8	1.0e-07
456.0	1.0e-07
456.2	1.0e-07
456.4	1.0e-07
456.6	1.0e-07
456.8	1.0e-07
457.0	1.0e-07
457.2	1.0e-07
457.4	1.0e-07
457.6	1.0e-07
457.8	1.0e-07
458.0	1.0e-07
458.2	1.0e-07
458.4	1.0e-07
458.6	1.0e-07
458.8	1.0e-07
459.0	1.0e-07
459.2	1.0e-07
459.4	1.0e-07
459.6	1.0e-07
459.8	1.0e-07
460.0	1.0e-07
460.2	1.0e-07
460.4	1.0e-07
460.6	1.0e-07
460.8	1.0e-07
461.0	1.0e-07
461.2	1.0e-07
461.4	1.0e-07
461.6	1.0e-07
461.8	1.0e-07
462.0	1.0e-07
462.2	1.0e-07
462.4	1.0e-07
462.6	1.0e-07
462.8	1.0e-07
463.0	1.0e-07
463.2	1.0178e-07
463.4	1.0398e-07
463.6	1.0622e-07
463.8	1.0852e-07
464.0	1.1086e-07
464.2	1.1325e-07
464.4	1.157e-07
464.6	1.182e-07
464.8	1.2075e-07
465.0	1.2336e-07
465.2	1.2602e-07
465.4	1.2874e-07
465.6	1.3152e-07
465.8	1.3436e-07
466.0	1.3727e-07
466.2	1.4023e-07
466.4	1.4326e-07
466.6	1.4635e-07
466.8	1.4951e-07
467.0	1.5274e-07
467.2	1.5604e-07
467.4	1.5941e-07
467.6	1.6285e-07
467.8	1.6637e-07
468.0	1.6996e-07
468.2	1.7426e-07
468.4	1.7879e-07
468.6	1.8344e-07
468.8	1.8821e-07
469.0	1.9311e-07
469.2	1.9813e-07
469.4	2.0328e-07
469.6	2.0857e-07
469.8	2.1399e-07
470.0	2.1956e-07
470.2	2.2527e-07
470.4	2.3113e-07
470.6	2.3714e-07
470.8	2.4331e-07
471.0	2.4963e-07
471.2	2.5613e-07
471.4	2.6279e-07
471.6	2.6962e-07
471.8	2.7663e-07
472.0	2.8383e-07
472.2	2.9121e-07
472.4	2.9878e-07
472.6	3.0655e-07
472.8	3.1453e-07
473.0	3.2271e-07
473.2	3.2463e-07
473.4	3.2537e-07
473.6	3.2613e-07
473.8	3.2688e-07
474.0	3.2763e-07
474.2	3.2839e-07
474.4	3.2915e-07
474.6	3.2991e-07
474.8	3.3067e-07
475.0	3.3143e-07
475.2	3.322e-07
475.4	3.3296e-07
475.6	3.3373e-07
475.8	3.345e-07
476.0	3.3527e-07
476.2	3.3605e-07
476.4	3.3682e-07
476.6	3.376e-07
476.8	3.3838e-07
477.0	3.3916e-07
477.2	3.3995e-07
477.4	3.4073e-07
477.6	3.4152e-07
477.8	3.423e-07
478.0	3.4309e-07
478.2	3.3917e-07
478.4	3.3431e-07
478.6	3.2952e-07
478.8	3.2479e-07
479.0	3.2014e-07
479.2	3.1555e-07
479.4	3.1103e-07
479.6	3.0657e-07
479.8	3.0218e-07
480.0	2.9785e-07
480.2	2.9358e-07
480.4	2.8937e-07
