Typical Measured Spectrum of Semrock FF01-630/92 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
394.0	2.9465e-07
394.2	2.7591e-07
394.4	2.5836e-07
394.6	2.4193e-07
394.8	2.2654e-07
395.0	2.1214e-07
395.2	1.9864e-07
395.4	1.8601e-07
395.6	1.7418e-07
395.8	1.631e-07
396.0	1.4054e-07
396.2	1.1388e-07
396.4	9.228e-08
396.6	7.4776e-08
396.8	6.0592e-08
397.0	4.9098e-08
397.2	3.9785e-08
397.4	3.2238e-08
397.6	2.6123e-08
397.8	2.1168e-08
398.0	2.0085e-08
398.2	2.3391e-08
398.4	2.7242e-08
398.6	3.1727e-08
398.8	3.695e-08
399.0	4.3033e-08
399.2	5.0117e-08
399.4	5.8368e-08
399.6	6.7977e-08
399.8	7.9168e-08
400.0	9.2604e-08
400.2	1.1103e-07
400.4	1.3312e-07
400.6	1.596e-07
400.8	1.9136e-07
401.0	2.2943e-07
401.2	2.7508e-07
401.4	3.298e-07
401.6	3.9542e-07
401.8	4.7409e-07
402.0	4.5452e-07
402.2	4.2387e-07
402.4	3.9529e-07
402.6	3.6863e-07
402.8	3.4377e-07
403.0	3.2059e-07
403.2	2.9898e-07
403.4	2.7882e-07
403.6	2.6002e-07
403.8	2.4248e-07
404.0	2.4668e-07
404.2	2.5832e-07
404.4	2.7052e-07
404.6	2.8329e-07
404.8	2.9666e-07
405.0	3.1066e-07
405.2	3.2533e-07
405.4	3.4069e-07
405.6	3.5677e-07
405.8	3.7362e-07
406.0	3.6725e-07
406.2	3.4667e-07
406.4	3.2725e-07
406.6	3.0891e-07
406.8	2.916e-07
407.0	2.7526e-07
407.2	2.5984e-07
407.4	2.4528e-07
407.6	2.3154e-07
407.8	2.1856e-07
408.0	2.0284e-07
408.2	1.8474e-07
408.4	1.6825e-07
408.6	1.5323e-07
408.8	1.3956e-07
409.0	1.2711e-07
409.2	1.1576e-07
409.4	1.0543e-07
409.6	9.6022e-08
409.8	8.7453e-08
410.0	7.8834e-08
410.2	6.7584e-08
410.4	5.794e-08
410.6	4.9672e-08
410.8	4.2584e-08
411.0	3.6507e-08
411.2	3.1298e-08
411.4	2.6831e-08
411.6	2.3003e-08
411.8	1.972e-08
412.0	1.9241e-08
412.2	1.9173e-08
412.4	1.9105e-08
412.6	1.9037e-08
412.8	1.897e-08
413.0	1.8902e-08
413.2	1.8835e-08
413.4	1.8769e-08
413.6	1.8702e-08
413.8	1.8636e-08
414.0	1.8582e-08
414.2	1.8534e-08
414.4	1.8485e-08
414.6	1.8436e-08
414.8	1.8388e-08
415.0	1.8339e-08
415.2	1.8291e-08
415.4	1.8243e-08
415.6	1.8195e-08
415.8	1.8147e-08
416.0	1.8096e-08
416.2	1.8042e-08
416.4	1.7988e-08
416.6	1.7934e-08
416.8	1.788e-08
417.0	1.7827e-08
417.2	1.7774e-08
417.4	1.7721e-08
417.6	1.7668e-08
417.8	1.7615e-08
418.0	1.8577e-08
418.2	2.09e-08
418.4	2.3514e-08
418.6	2.6455e-08
418.8	2.9763e-08
419.0	3.3485e-08
419.2	3.7673e-08
419.4	4.2384e-08
419.6	4.7685e-08
419.8	5.3648e-08
420.0	5.7787e-08
420.2	5.0331e-08
420.4	4.3837e-08
420.6	3.8181e-08
420.8	3.3255e-08
421.0	2.8964e-08
421.2	2.5227e-08
421.4	2.1972e-08
421.6	1.9137e-08
421.8	1.6668e-08
422.0	1.8238e-08
422.2	2.0843e-08
422.4	2.3819e-08
422.6	2.7221e-08
422.8	3.1108e-08
423.0	3.555e-08
423.2	4.0627e-08
423.4	4.6428e-08
423.6	5.3059e-08
423.8	6.0635e-08
424.0	6.5447e-08
424.2	6.9051e-08
424.4	7.2852e-08
424.6	7.6864e-08
424.8	8.1096e-08
425.0	8.556e-08
425.2	9.0271e-08
425.4	9.5241e-08
425.6	1.0049e-07
425.8	1.0602e-07
426.0	9.6797e-08
426.2	7.9762e-08
426.4	6.5726e-08
426.6	5.4159e-08
426.8	4.4628e-08
427.0	3.6774e-08
427.2	3.0303e-08
427.4	2.497e-08
427.6	2.0576e-08
427.8	1.6955e-08
428.0	1.6515e-08
428.2	1.9502e-08
428.4	2.3029e-08
428.6	2.7194e-08
428.8	3.2112e-08
429.0	3.792e-08
429.2	4.4778e-08
429.4	5.2876e-08
429.6	6.2439e-08
429.8	7.3731e-08
430.0	8.5028e-08
430.2	8.7349e-08
430.4	8.9733e-08
430.6	9.2182e-08
430.8	9.4698e-08
431.0	9.7282e-08
431.2	9.9937e-08
431.4	1.0266e-07
431.6	1.0547e-07
431.8	1.0835e-07
432.0	9.4853e-08
432.2	8.0906e-08
432.4	6.9011e-08
432.6	5.8864e-08
432.8	5.0209e-08
433.0	4.2827e-08
433.2	3.653e-08
433.4	3.1159e-08
433.6	2.6578e-08
433.8	2.267e-08
434.0	2.0645e-08
434.2	1.925e-08
434.4	1.7949e-08
434.6	1.6736e-08
434.8	1.5604e-08
435.0	1.455e-08
435.2	1.3567e-08
435.4	1.265e-08
435.6	1.1795e-08
435.8	1.0998e-08
436.0	1.0707e-08
436.2	1.0709e-08
436.4	1.0712e-08
436.6	1.0714e-08
436.8	1.0717e-08
437.0	1.0719e-08
437.2	1.0722e-08
437.4	1.0724e-08
437.6	1.0727e-08
437.8	1.073e-08
438.0	1.1712e-08
438.2	1.3978e-08
438.4	1.6681e-08
438.6	1.9907e-08
438.8	2.3757e-08
439.0	2.8352e-08
439.2	3.3836e-08
439.4	4.038e-08
439.6	4.819e-08
439.8	5.751e-08
440.0	6.4037e-08
440.2	5.306e-08
440.4	4.3964e-08
440.6	3.6428e-08
440.8	3.0184e-08
441.0	2.501e-08
441.2	2.0723e-08
441.4	1.717e-08
441.6	1.4227e-08
441.8	1.1788e-08
442.0	1.1429e-08
442.2	1.143e-08
442.4	1.1432e-08
442.6	1.1433e-08
442.8	1.1434e-08
443.0	1.1435e-08
443.2	1.1436e-08
443.4	1.1438e-08
443.6	1.1439e-08
443.8	1.144e-08
444.0	1.138e-08
444.2	1.1297e-08
444.4	1.1214e-08
444.6	1.1132e-08
444.8	1.1051e-08
445.0	1.097e-08
445.2	1.089e-08
445.4	1.081e-08
445.6	1.0731e-08
445.8	1.0652e-08
446.0	1.0604e-08
446.2	1.0576e-08
446.4	1.0548e-08
446.6	1.0519e-08
446.8	1.0491e-08
447.0	1.0464e-08
447.2	1.0436e-08
447.4	1.0408e-08
447.6	1.038e-08
447.8	1.0353e-08
448.0	1.0459e-08
448.2	1.071e-08
448.4	1.0967e-08
448.6	1.123e-08
448.8	1.1499e-08
449.0	1.1775e-08
449.2	1.2057e-08
449.4	1.2346e-08
449.6	1.2642e-08
449.8	1.2945e-08
450.0	1.3618e-08
450.2	1.6072e-08
450.4	1.8968e-08
450.6	2.2386e-08
450.8	2.642e-08
451.0	3.118e-08
451.2	3.6799e-08
451.4	4.3429e-08
451.6	5.1255e-08
451.8	6.049e-08
452.0	6.4049e-08
452.2	6.6221e-08
452.4	6.8466e-08
452.6	7.0787e-08
452.8	7.3187e-08
453.0	7.5669e-08
453.2	7.8234e-08
453.4	8.0887e-08
453.6	8.3629e-08
453.8	8.6465e-08
454.0	7.4914e-08
454.2	6.028e-08
454.4	4.8504e-08
454.6	3.9029e-08
454.8	3.1404e-08
455.0	2.527e-08
455.2	2.0333e-08
455.4	1.6361e-08
455.6	1.3165e-08
455.8	1.0593e-08
456.0	9.7385e-09
456.2	9.7844e-09
456.4	9.8306e-09
456.6	9.8769e-09
456.8	9.9235e-09
457.0	9.9703e-09
457.2	1.0017e-08
457.4	1.0065e-08
457.6	1.0112e-08
457.8	1.016e-08
458.0	1.0198e-08
458.2	1.0226e-08
458.4	1.0254e-08
458.6	1.0283e-08
458.8	1.0311e-08
459.0	1.0339e-08
459.2	1.0368e-08
459.4	1.0396e-08
459.6	1.0425e-08
459.8	1.0454e-08
460.0	1.046e-08
460.2	1.0374e-08
460.4	1.0289e-08
460.6	1.0205e-08
460.8	1.0121e-08
461.0	1.0039e-08
461.2	9.9563e-09
461.4	9.8747e-09
461.6	9.7937e-09
461.8	9.7135e-09
462.0	1.0592e-08
462.2	1.1786e-08
462.4	1.3113e-08
462.6	1.459e-08
462.8	1.6234e-08
463.0	1.8062e-08
463.2	2.0097e-08
463.4	2.2361e-08
463.6	2.488e-08
463.8	2.7682e-08
464.0	2.9133e-08
464.2	3.0004e-08
464.4	3.09e-08
464.6	3.1824e-08
464.8	3.2774e-08
465.0	3.3754e-08
465.2	3.4762e-08
465.4	3.5801e-08
465.6	3.6871e-08
465.8	3.7972e-08
466.0	3.8924e-08
466.2	3.9785e-08
466.4	4.0666e-08
466.6	4.1565e-08
466.8	4.2485e-08
467.0	4.3425e-08
467.2	4.4386e-08
467.4	4.5368e-08
467.6	4.6372e-08
467.8	4.7398e-08
468.0	5.036e-08
468.2	5.5454e-08
468.4	6.1063e-08
468.6	6.724e-08
468.8	7.4041e-08
469.0	8.1531e-08
469.2	8.9778e-08
469.4	9.886e-08
469.6	1.0886e-07
469.8	1.1987e-07
470.0	1.3095e-07
470.2	1.3883e-07
470.4	1.4719e-07
470.6	1.5604e-07
470.8	1.6544e-07
471.0	1.7539e-07
471.2	1.8595e-07
471.4	1.9714e-07
471.6	2.09e-07
471.8	2.2158e-07
472.0	2.2331e-07
472.2	2.2273e-07
472.4	2.2214e-07
472.6	2.2156e-07
472.8	2.2098e-07
473.0	2.2041e-07
473.2	2.1983e-07
473.4	2.1925e-07
473.6	2.1868e-07
473.8	2.1811e-07
474.0	2.0714e-07
474.2	1.9319e-07
474.4	1.8018e-07
474.6	1.6804e-07
474.8	1.5672e-07
475.0	1.4617e-07
475.2	1.3633e-07
475.4	1.2714e-07
475.6	1.1858e-07
475.8	1.1059e-07
476.0	1.086e-07
476.2	1.0984e-07
476.4	1.1109e-07
476.6	1.1236e-07
476.8	1.1364e-07
477.0	1.1494e-07
477.2	1.1626e-07
477.4	1.1758e-07
477.6	1.1893e-07
477.8	1.2028e-07
478.0	1.263e-07
478.2	1.3691e-07
478.4	1.4842e-07
478.6	1.6089e-07
478.8	1.7441e-07
479.0	1.8907e-07
479.2	2.0495e-07
479.4	2.2218e-07
479.6	2.4085e-07
479.8	2.6108e-07
480.0	2.6939e-07
480.2	2.3447e-07
480.4	2.0408e-07
480.6	1.7763e-07
480.8	1.5461e-07
481.0	1.3457e-07
481.2	1.1713e-07
481.4	1.0195e-07
481.6	8.8739e-08
481.8	7.7238e-08
482.0	8.0032e-08
482.2	8.6505e-08
482.4	9.35e-08
482.6	1.0106e-07
482.8	1.0924e-07
483.0	1.1807e-07
483.2	1.2762e-07
483.4	1.3794e-07
483.6	1.4909e-07
483.8	1.6115e-07
484.0	1.6958e-07
484.2	1.7656e-07
484.4	1.8383e-07
484.6	1.914e-07
484.8	1.9927e-07
485.0	2.0748e-07
485.2	2.1601e-07
485.4	2.2491e-07
485.6	2.3416e-07
485.8	2.438e-07
486.0	2.4477e-07
486.2	2.4045e-07
486.4	2.362e-07
486.6	2.3203e-07
486.8	2.2793e-07
487.0	2.239e-07
487.2	2.1994e-07
487.4	2.1606e-07
487.6	2.1224e-07
487.8	2.0849e-07
488.0	1.9912e-07
488.2	1.8558e-07
488.4	1.7296e-07
488.6	1.612e-07
488.8	1.5023e-07
489.0	1.4002e-07
489.2	1.305e-07
489.4	1.2162e-07
489.6	1.1335e-07
489.8	1.0564e-07
490.0	1.098e-07
490.2	6.8473e-08
490.4	2.8534e-08
490.6	1.3259e-08
490.8	1.7389e-08
491.0	2.2805e-08
491.2	2.553e-08
491.4	2.5424e-08
491.6	2.1892e-08
491.8	1.6527e-08
492.0	1.2521e-08
492.2	1.9216e-08
492.4	2.9491e-08
492.6	3.3418e-08
492.8	2.7264e-08
493.0	2.7241e-08
493.2	3.5608e-08
493.4	4.6546e-08
493.6	2.8754e-08
493.8	1.6494e-08
494.0	1.1732e-08
494.2	1.1684e-08
494.4	1.1638e-08
494.6	1.1596e-08
494.8	1.1553e-08
495.0	1.8044e-08
495.2	3.1209e-08
495.4	3.7599e-08
495.6	1.9088e-08
495.8	1.308e-08
496.0	2.2589e-08
496.2	3.9009e-08
496.4	4.1602e-08
496.6	3.6954e-08
496.8	3.0184e-08
497.0	1.7808e-08
497.2	1.2031e-08
497.4	2.4334e-08
497.6	4.9218e-08
497.8	4.3372e-08
498.0	2.1199e-08
498.2	1.1094e-08
498.4	1.5509e-08
498.6	2.1416e-08
498.8	1.6193e-08
499.0	1.2244e-08
499.2	1.7406e-08
499.4	4.6522e-08
499.6	1.2435e-07
499.8	9.0889e-08
500.0	6.47e-08
500.2	3.2574e-08
500.4	1.5945e-08
500.6	1.4943e-08
500.8	3.7094e-08
501.0	9.2082e-08
501.2	5.1205e-08
501.4	2.3219e-08
501.6	2.32e-08
501.8	2.7097e-08
502.0	3.4518e-08
502.2	5.3105e-08
502.4	8.1699e-08
502.6	3.8046e-08
502.8	1.3019e-08
503.0	1.663e-08
503.2	3.3743e-08
503.4	5.0096e-08
503.6	2.4564e-08
503.8	1.2045e-08
504.0	1.5445e-08
504.2	2.9904e-08
504.4	2.7793e-08
504.6	1.5998e-08
504.8	9.6495e-09
505.0	9.6298e-09
505.2	9.6101e-09
505.4	1.1597e-08
505.6	1.6198e-08
505.8	1.6532e-08
506.0	1.2481e-08
506.2	9.4227e-09
506.4	9.3364e-09
506.6	9.2763e-09
506.8	1.3334e-08
507.0	2.9071e-08
507.2	4.389e-08
507.4	3.9894e-08
507.6	3.6263e-08
507.8	4.3691e-08
508.0	5.4316e-08
508.2	4.3296e-08
508.4	1.6713e-08
508.6	8.8249e-09
508.8	8.8023e-09
509.0	8.7797e-09
509.2	1.4707e-08
509.4	2.782e-08
509.6	3.8641e-08
509.8	2.5193e-08
510.0	2.877e-08
510.2	2.5011e-08
510.4	1.7437e-08
510.6	1.9759e-08
510.8	8.1654e-08
511.0	7.9337e-08
511.2	7.3738e-08
511.4	3.3784e-08
511.6	2.7526e-08
511.8	3.95e-08
512.0	1.6866e-08
512.2	1.679e-08
512.4	1.6726e-08
512.6	3.0086e-08
512.8	5.1499e-08
513.0	5.5799e-08
513.2	5.0517e-08
513.4	1.6779e-08
513.6	7.5443e-08
513.8	8.3527e-08
514.0	5.2179e-08
514.2	4.9774e-08
514.4	4.0043e-08
514.6	1.82e-08
514.8	3.1495e-08
515.0	3.2663e-08
515.2	2.248e-08
515.4	2.0346e-08
515.6	5.1917e-08
515.8	1.0331e-07
516.0	6.2122e-08
516.2	4.9161e-08
516.4	3.5864e-08
516.6	2.2418e-08
516.8	2.4667e-08
517.0	9.1192e-08
517.2	2.935e-08
517.4	5.6336e-08
517.6	4.2362e-08
517.8	5.0906e-08
518.0	2.3907e-08
518.2	2.2713e-08
518.4	2.7456e-08
518.6	3.4963e-08
518.8	1.5083e-08
519.0	1.5061e-08
519.2	5.0445e-08
519.4	4.6793e-08
519.6	2.0652e-08
519.8	3.7461e-08
520.0	1.7211e-08
520.2	2.9773e-08
520.4	2.9866e-08
520.6	4.4631e-08
520.8	5.9446e-08
521.0	4.9457e-08
521.2	2.242e-08
521.4	1.8224e-08
521.6	4.3368e-08
521.8	1.1223e-07
522.0	3.8583e-08
522.2	1.4431e-08
522.4	1.9039e-08
522.6	4.758e-08
522.8	1.4272e-08
523.0	1.4194e-08
523.2	1.4137e-08
523.4	1.409e-08
523.6	2.6457e-08
523.8	9.5507e-08
524.0	6.8046e-08
524.2	1.3961e-08
524.4	1.393e-08
524.6	2.9677e-08
524.8	4.7831e-08
525.0	7.1622e-08
525.2	1.2897e-07
525.4	6.3388e-08
525.6	3.875e-08
525.8	1.6092e-08
526.0	1.3701e-08
526.2	4.2731e-08
526.4	1.1334e-07
526.6	2.6929e-08
526.8	2.1306e-08
527.0	4.1842e-08
