XF1006,400DF15
Wavelength (nm),%T
941.9506226,-0.147452876
941.043396,-0.079395227
940.0060425,0.088086545
938.9680786,-0.211041465
938.0593872,0.079164915
937.0203857,0.068036675
935.9807739,-0.148484081
934.9406128,-0.163886562
934.0299683,0.087814674
932.9887085,-0.155114085
931.9468994,-0.032854572
931.03479,0.061293568
929.9918823,-0.005712436
928.9484253,0.055689812
928.0348511,0.178054482
926.9902954,0.00538659
925.9451904,0.102090091
925.0302124,0.010789088
923.9840088,-0.097063415
922.9372559,0.067405336
922.020874,0.140696168
920.9730225,0.195189118
920.0557251,-0.117035538
919.0067749,0.035987023
917.9573364,-0.031350181
917.0385742,-0.027491236
915.9880371,-0.078304201
914.9369507,0.181743816
914.0167847,0.026880769
912.9646606,-0.04039643
912.0435181,-0.302548438
910.9903564,0.134920597
909.9365845,0.224743292
909.0140381,-0.055416137
907.9592285,-0.090339497
907.0358276,0.141000599
905.9799194,0.031663004
905.055603,0.01086658
903.9986572,-0.114090972
902.9412231,0.138691723
902.0154419,0.042145997
900.9569702,-0.064253993
900.0302734,-0.281536639
898.9707642,-0.018299686
898.0431519,0.008407386
896.9825439,-0.063557781
896.0540771,-0.195412636
894.9924927,0.102269568
894.0631104,-0.091086529
893.0004272,-0.141407251
891.9371948,0.048364371
891.0064087,0.144376233
889.9421997,0.028596576
889.010498,0.039580539
887.9452515,0.017883074
887.0126953,-0.03420642
885.9463501,-0.045380507
885.0129395,0.047510255
883.9455566,0.117183998
883.0112305,-0.044204079
881.9428711,-0.090871803
881.0076294,0
879.9382935,-0.042815134
879.0021362,0.052662771
878.0655518,0.10421253
876.9946899,0.029795565
876.057251,0.129153505
874.9854126,0.064365231
874.0470581,-0.150432378
872.9741821,-0.010030323
872.0349731,0.202812284
870.9610596,0.045508757
870.0209961,-0.126743764
868.946106,-0.005554955
868.005127,-0.228135258
867.0637207,0.044655602
865.9873657,-0.043733668
865.045105,-0.005691235
863.9677124,0.092265137
863.0245972,0.039042722
861.946228,0.199183315
861.0022583,-0.126677886
860.0578003,-0.221910492
858.9779663,0.187161967
858.0327148,-0.131495938
856.9519043,0.063870348
856.0057373,-0.154182136
855.0592041,0.264280915
853.9769287,-0.058779836
853.02948,-0.123666719
851.946228,0.254133135
850.9979248,0.121377453
850.0492554,-0.023190232
848.9645996,-0.008428451
848.0150146,-0.090749443
847.0650635,0.013714924
845.9789429,-0.013992809
845.0281372,-0.053064547
843.94104,0.04166434
842.9893799,-0.132776871
842.0373535,-0.060700927
840.9487915,-0.074728116
839.9958496,-0.371381611
839.0426025,0.057168763
837.9526367,0.186384812
836.9984741,-0.100907706
836.0439453,-0.033040632
834.9525146,-0.006080212
833.9971313,0.115125813
833.0413818,0.099590026
831.9485474,-0.026990604
830.9919434,-0.164875954
830.0349121,0.020904846
828.9407349,-0.033500139
827.9828491,0.005576948
827.0245972,0.086224988
826.065979,-0.013264136
824.9699097,0.054410331
824.010437,-0.065307677
823.0505981,-0.046634343
821.953125,0.199898899
820.9924316,-0.085319914
820.0313721,0.012976615
818.9324951,0.258139998
817.9705811,0.002414698
817.0083008,0.06285803
816.0455933,0.07659445
814.9449463,0.080887318
813.9814453,0.114241593
813.0175171,-0.018709254
812.0532837,-0.08396361
810.9508057,-0.303700417
809.9856567,0.002348718
809.0202026,-0.041137561
808.0543213,0.02587286
806.9500732,-0.069903038
805.9833984,0.100369662
805.0162964,-0.195228592
804.0488892,0.002688216
802.942749,-0.155959725
801.9745483,-0.067740962
801.0059204,-0.041991413
800.0368652,0.108136632
799.0675049,-0.045152545
797.9591675,-0.071134642
796.9890137,0.061713085
796.0184326,-0.056096956
795.0474854,-0.053521246
793.9373779,0.130348593
792.9656372,0.08113692
791.9935303,0.074458539
791.0209961,-0.012785763
790.0481567,-0.124805294
788.9358521,0.186239258
787.9621582,-0.166040838
786.9881592,0.022198066
786.0137329,-0.04853012
785.0389404,0.244515389
784.0637817,-0.124454729
782.9488525,0.174210727
781.9729614,0.125353858
780.9966431,-0.006726755
780.0199585,-0.01100853
779.0429077,0.006258451
778.0654907,0.012636387
776.947998,0.034761183
775.9697876,0.039059985
774.9912109,0.067362614
774.0122681,0.090681031
773.032959,-0.044555176
772.0532837,0.036300231
770.9332275,0.117215179
769.9527588,-0.073628277
768.9719849,-0.078614458
767.9907837,-0.316750437
767.0092773,0.050394483
766.0273438,0.112098105
765.045105,0.077555105
764.0625,-0.038096044
762.9390259,-0.138535962
761.9556274,-0.091967911
760.9719238,-0.144262523
759.987793,-0.133205459
759.0032959,0.121119142
758.0184937,-0.024727955
757.0333252,-0.071401857
756.0477905,0.042983856
755.0618896,-0.138802692
753.9346924,0.043804124
752.947998,-0.103103355
751.9609985,0.019577282
750.9736328,0.131511226
749.9859009,0.007696737
748.9978027,-0.019803751
748.0093994,0.12055859
747.0205688,-0.123273417
