XF2048,400-477-575TBDR
Wavelength (nm),%T
961.0331421,80.30718231
960.0064087,80.82551575
958.979126,81.14205933
957.9512329,81.56137085
957.0513916,81.37910461
956.0223999,82.38365936
954.9927979,81.93241882
953.9626465,81.27390289
953.060791,81.60610199
952.029541,82.42626953
950.9976807,81.73957062
949.96521,82.68280029
949.0614014,82.60638428
948.027832,83.03450012
946.9937134,82.64090729
945.9590454,81.95835876
945.0531616,82.04090118
944.017395,82.59557343
942.9810181,81.54281616
941.9440308,81.70861053
941.0361938,82.01165009
939.9981689,81.96464539
938.9595337,81.75796509
938.050293,82.08221436
937.0105591,81.59476471
935.9702759,82.33968353
935.0595093,81.27761841
934.0181274,81.97068787
932.9761963,81.21822357
932.0640259,82.16306305
931.0209961,81.65632629
929.977417,82.49815369
929.0637817,81.34723663
928.019104,82.93585968
926.973877,82.82234955
926.0587769,83.0493927
925.0124512,82.96435547
923.9655762,82.98118591
923.0490723,83.82161713
922.0011597,83.03290558
920.9525757,83.59447479
920.034668,84.44111633
918.9851074,83.74417877
917.9349365,83.99307251
917.015564,84.37141418
915.9643555,85.19464874
915.0440674,84.46173859
913.9918213,84.57444
912.9389648,85.47370911
912.0172729,86.0499115
910.9633789,85.46212769
910.0407715,85.77174377
908.9857788,86.11569977
908.0622559,86.28404999
907.0062866,85.17263031
905.949707,86.43604279
905.0247803,85.75514221
903.9671631,86.18013
903.0413208,86.68339539
901.982666,86.50643921
901.0558472,86.99208832
899.9962158,86.57639313
898.9359131,85.85372925
898.0077515,86.66203308
896.9464722,86.32507324
896.017395,86.34666443
894.9550781,85.97078705
894.0250854,86.65130615
892.961731,85.96590424
892.0308838,86.11196136
890.9664917,86.6400528
890.034668,85.82091522
888.9692383,86.45816803
888.0365601,86.42843628
886.9701538,86.62624359
886.0365601,86.18413544
884.9690552,86.32557678
884.0346069,86.71868134
882.9661255,86.75531006
882.0307007,86.79167938
880.9611816,87.46549225
880.0249634,87.16629791
878.9544067,87.52401733
878.0172729,88.30965424
876.9456787,88.25345612
876.0076294,87.68170166
874.9351196,89.08410645
873.9961548,89.39704132
873.0568237,88.54830933
871.9827881,89.56684113
871.0425415,91.04759979
869.9675293,89.95283508
869.0264282,89.81733704
867.9503174,89.41873169
867.0083618,88.86225128
866.065979,90.25902557
864.9884644,90.67337799
864.045166,89.99956512
862.9666138,89.72821808
862.022522,90.64854431
860.9429932,90.27824402
859.9979858,90.08352661
859.0525513,88.49862671
857.9715576,88.40527344
857.0252686,87.63843536
855.9432983,88.38676453
854.9961548,86.95892334
854.048584,85.92115784
852.9651489,86.44120026
852.0167236,86.3752594
850.932312,86.83985138
849.9830322,85.9144516
849.0333862,85.63056946
847.9475098,86.30197144
846.9969482,84.99445343
846.0460205,84.8454361
844.9587402,86.36112976
844.006958,86.04193878
843.0547485,84.77345276
841.9660034,86.2485733
841.0130005,87.41978455
840.0595093,86.75904083
838.9693604,87.92031097
838.0150757,88.04273224
837.0603638,88.14737701
835.968811,89.28671265
835.0133057,89.44572449
834.057373,90.14795685
832.9643555,91.30814362
832.0076294,92.06684113
831.050415,92.34702301
829.9560547,93.02024078
828.9980469,93.11778259
828.0396118,94.01933289
826.9438477,93.36802673
825.9846191,93.9056778
825.0249634,93.6374588
824.0649414,94.02222443
822.9672852,93.59396362
822.0064697,92.95585632
821.0452271,93.59023285
819.946167,93.08738708
818.9841309,92.67209625
818.0216675,91.7585144
817.0588379,90.75128174
815.9579468,90.01898193
814.9943237,89.90914154
814.0302734,89.56040192
813.0657959,89.91606903
811.9631348,90.32627106
810.9978638,89.12973022
810.0322266,91.30900574
809.0662231,90.51288605
807.961731,90.37988281
806.994873,91.54277802
806.0276489,91.69351196
805.0600586,91.62917328
803.9537354,90.37998962
802.9853516,89.6213913
802.0165405,88.91494751
801.0473633,87.00056458
799.93927,83.59143829
798.9692993,80.76268005
797.9989014,77.26291656
797.0281982,71.65572357
796.0570679,67.88522339
794.9467773,63.35378265
793.9748535,59.15034485
793.0025635,55.74311066
792.0298462,52.73183441
791.0568237,48.55554962
789.9443359,44.60221481
788.970459,40.99446106
787.9962769,37.96509171
787.0216675,33.53968048
786.0467529,30.72061539
784.9320068,26.86791992
783.9562988,24.99575233
782.9801636,22.38645172
782.0036621,19.64888191
781.0267944,17.38572884
780.0495605,16.60550308
778.932312,14.44051838
777.9542847,12.18327141
776.9758911,12.0691061
775.9971313,10.20937729
775.0180054,9.319129944
774.0385132,8.439352989
773.0586548,7.715015888
771.9384155,7.314182758
770.9577637,6.269746304
769.9767456,6.171742916
768.9954224,5.85059166
768.0136719,4.770293713
767.0316162,4.765715599
766.0491333,4.439880848
765.0663452,3.752823114
763.942688,4.29730463
762.9591064,3.33930254
761.9751587,2.950309992
760.9908447,2.990002632
760.0062256,2.724662304
759.0211792,2.548588991
758.0358276,2.790785789
757.0500488,2.123718977
756.0639648,2.938072443
754.9365845,2.094470978
753.949707,2.083944321
752.9625244,1.871583581
751.9749146,2.244341373
750.9869995,2.105678558
749.9987183,2.046793222
749.0101318,2.224142551
748.0211182,1.559210896
747.0317993,1.759005666
746.0421143,2.191669703
745.052063,2.428153992
744.0616455,2.078895807
742.9293213,2.000403404
741.9381714,2.081037045
740.9467163,2.034939528
739.954834,2.346562862
738.9626465,2.508107901
737.9700928,2.428682327
736.9772339,2.479909658
735.9839478,2.603563309
734.9903564,2.757681608
733.99646,2.96818161
733.0021362,2.921512127
732.0075073,3.303680658
731.0125732,3.569295168
730.0172119,4.019491673
729.0215454,4.060544968
728.0255737,4.145855904
727.0292358,4.787659645
726.0325317,5.578219414
725.0354614,5.788035393
724.0380859,6.291731358
723.0403442,7.702106953
722.0422974,8.629612923
721.0438843,9.966317177
