Typical Measured Spectrum of Semrock FF436/514/604-Di01 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Form of data:  Wavelength (nm) <tab> Transmission (0 to 1)	
403.4	0.002431705
403.6	0.002284377
403.8	0.002098855
404	0.0019284
404.2	0.001784531
404.4	0.001651395
404.6	0.001525903
404.8	0.001407833
405	0.0012989
405.2	0.00123982
405.4	0.001183427
405.6	0.001184664
405.8	0.00124371
406	0.0013057
406.2	0.001513108
406.4	0.001753463
406.6	0.002067863
406.8	0.002481676
407	0.0029783
407.2	0.003429098
407.4	0.003948128
407.6	0.004403644
407.8	0.004758198
408	0.0051413
408.2	0.005345837
408.4	0.005558511
408.6	0.005671735
408.8	0.005679213
409	0.0056867
409.2	0.005483571
409.4	0.005287697
409.6	0.005067582
409.8	0.004826874
410	0.0045976
410.2	0.00436769
410.4	0.004149276
410.6	0.00396218
410.8	0.003803096
411	0.0036504
411.2	0.003505176
411.4	0.003365729
411.6	0.003292642
411.8	0.003281753
412	0.0032709
412.2	0.003439265
412.4	0.003616296
412.6	0.003858186
412.8	0.004176604
413	0.0045213
413.2	0.004862686
413.4	0.00522985
413.6	0.005560738
413.8	0.005845289
414	0.0061444
414.2	0.006246055
414.4	0.006349392
414.6	0.006373411
414.8	0.006317208
415	0.0062615
415.2	0.006094952
415.4	0.005932835
415.6	0.005757467
415.8	0.005570291
416	0.0053892
416.2	0.005207638
416.4	0.005032193
416.6	0.004872741
416.8	0.004728125
417	0.0045878
417.2	0.004508618
417.4	0.004430803
417.6	0.004416299
417.8	0.004464486
418	0.0045132
418.2	0.004765117
418.4	0.005031094
418.6	0.005353276
418.8	0.005740438
419	0.0061556
419.2	0.006558052
419.4	0.006986817
419.6	0.007379425
419.8	0.007726883
420	0.0080907
420.2	0.008329278
420.4	0.008574891
420.6	0.008773927
420.8	0.008922849
421	0.0090743
421.2	0.009162102
421.4	0.009250753
421.6	0.009341579
421.8	0.009434626
422	0.0095286
422.2	0.009581341
422.4	0.009634374
422.6	0.009696597
422.8	0.009768184
423	0.0098403
423.2	0.009906763
423.4	0.009973675
423.6	0.01000011
423.8	0.009985745
424	0.0099714
424.2	0.009900988
424.4	0.009831072
424.6	0.009734977
424.8	0.00961348
425	0.0094935
425.2	0.009201436
425.4	0.008918357
425.6	0.008607831
425.8	0.008273368
426	0.0079519
426.2	0.007557728
426.4	0.007183094
426.6	0.006818223
426.8	0.006463536
427	0.0061273
427.2	0.005789546
427.4	0.005470409
427.6	0.005165562
427.8	0.004874586
428	0.0046
428.2	0.00440351
428.4	0.004215414
428.6	0.004121436
428.8	0.004115514
429	0.0041096
429.2	0.004307887
429.4	0.004515742
429.6	0.004860928
429.8	0.005373219
430	0.0059395
430.2	0.0069557
430.4	0.008145763
430.6	0.009808328
430.8	0.012143124
431	0.0150337
431.2	0.019418127
431.4	0.025081228
431.6	0.032442654
431.8	0.042025226
432	0.0544382
432.2	0.067444922
432.4	0.083559293
432.6	0.10177994
432.8	0.11932502
433	0.1368701
433.2	0.15388102
433.4	0.17089194
433.6	0.18725516
433.8	0.20297068
434	0.2186862
434.2	0.23442476
434.4	0.25016332
434.6	0.26756302
434.8	0.28662386
435	0.3056847
435.2	0.33084938
435.4	0.35601406
435.6	0.3840223
435.8	0.4148741
436	0.4457259
436.2	0.47890206
436.4	0.51207822
436.6	0.54458974
436.8	0.57643662
437	0.6082835
437.2	0.63657694
437.4	0.66487038
437.6	0.69130664
437.8	0.71588572
438	0.7404648
438.2	0.76099048
438.4	0.78151616
438.6	0.80022146
438.8	0.81710638
439	0.8339913
439.2	0.8474251
439.4	0.8608589
439.6	0.87213786
439.8	0.88126198
440	0.8903861
440.2	0.89497458
440.4	0.89956306
440.6	0.90320982
440.8	0.90591486
441	0.9086199
441.2	0.91074586
441.4	0.91287182
441.6	0.91467842
441.8	0.91616566
442	0.9176529
442.2	0.9184939
442.4	0.9193349
442.6	0.9201037
442.8	0.9208003
443	0.9214969
443.2	0.92201414
443.4	0.92253138
443.6	0.92325298
443.8	0.92417894
444	0.9251049
444.2	0.92617498
444.4	0.92724506
444.6	0.9282225
444.8	0.9291073
445	0.9299921
445.2	0.93054986
445.4	0.93110762
445.6	0.93143654
445.8	0.93153662
446	0.9316367
446.2	0.93129518
446.4	0.93095366
446.6	0.93070854
446.8	0.93055982
447	0.9304111
447.2	0.92947214
447.4	0.92853318
447.6	0.92747942
447.8	0.92631086
448	0.9251423
448.2	0.9245719
448.4	0.9240015
448.6	0.92343212
448.8	0.92286376
449	0.9222954
449.2	0.92196596
449.4	0.92163652
449.6	0.92145088
449.8	0.92140904
450	0.9213672
450.2	0.92131
450.4	0.9212528
450.6	0.92125638
450.8	0.92132074
451	0.9213851
451.2	0.92156726
451.4	0.92174942
451.6	0.92199748
451.8	0.92231144
452	0.9226254
452.2	0.92291816
452.4	0.92321092
452.6	0.92320846
452.8	0.92291078
453	0.9226131
453.2	0.92258818
453.4	0.92256326
453.6	0.92255252
453.8	0.92255596
454	0.9225594
454.2	0.92262608
454.4	0.92269276
454.6	0.9228653
454.8	0.9231437
455	0.9234221
455.2	0.92352002
455.4	0.92361794
455.6	0.9236765
455.8	0.9236957
456	0.9237149
456.2	0.92340926
456.4	0.92310362
456.6	0.92269404
456.8	0.92218052
457	0.921667
457.2	0.92093548
457.4	0.92020396
457.6	0.91961092
457.8	0.91915636
458	0.9187018
458.2	0.91814256
458.4	0.91758332
458.6	0.91689918
458.8	0.91609014
459	0.9152811
459.2	0.91472982
459.4	0.91417854
459.6	0.91378214
459.8	0.91354062
460	0.9132991
460.2	0.91332314
460.4	0.91334718
460.6	0.91339858
460.8	0.91347734
461	0.9135561
461.2	0.91388698
461.4	0.91421786
461.6	0.91466368
461.8	0.91522444
462	0.9157852
462.2	0.9162446
462.4	0.916704
462.6	0.91720566
462.8	0.91774958
463	0.9182935
463.2	0.9188359
463.4	0.9193783
463.6	0.9199284
463.8	0.9204862
464	0.921044
464.2	0.92158384
464.4	0.92212368
464.6	0.92255046
464.8	0.92286418
465	0.9231779
465.2	0.92331242
465.4	0.92344694
465.6	0.9233987
465.8	0.9231677
466	0.9229367
466.2	0.9224803
466.4	0.9220239
466.6	0.9212497
466.8	0.9201577
467	0.9190657
467.2	0.91724398
467.4	0.91542226
467.6	0.91237586
467.8	0.90810478
468	0.9038337
468.2	0.89566106
468.4	0.88748842
468.6	0.87745162
