XF2029,595DRLP
Wavelength (nm),%T
872.9518433,10.07964516
872.0124512,9.81740284
870.9384155,8.723303795
869.9981689,8.454362869
869.0575562,8.235565186
867.9819946,8.571611404
867.0404663,7.260485172
865.9639282,7.863178253
865.0215454,7.61867094
863.9440308,6.880539894
863.0007324,6.742350101
862.0570679,6.361199379
860.9780273,6.692548275
860.0335083,5.79661417
858.9534912,5.939073086
858.0080566,6.493416309
857.0622559,5.968354702
855.980835,5.553709507
855.0341187,4.858128548
853.9516602,5.671552658
853.0040894,5.752621651
852.0561523,4.160277843
850.97229,5.825291634
850.0234375,5.289501667
848.9385986,4.798892021
847.9888916,3.883840799
847.0388184,4.816971779
845.9525146,5.007142067
845.0015869,5.73355484
844.0502319,4.86569643
842.9624634,4.970837593
842.0102539,4.908931255
841.0576782,4.561711788
839.9685059,4.94297123
839.0150757,4.617794514
838.0612183,5.039060593
836.9706421,4.986454964
836.0159912,5.013137817
835.0609131,4.610358715
833.9688721,4.885912895
833.0129395,5.133248329
832.0566406,4.8479352
830.9631958,4.931920052
830.0060425,5.374504089
829.0485229,5.168597221
827.9536743,5.247620583
826.9953003,5.498025417
826.036499,5.367293358
824.9403076,5.304833889
823.9806519,5.70582962
823.0206909,5.912581921
822.0603027,5.396696568
820.9622192,5.85863018
820.0009766,6.35630846
819.0393677,6.563001633
817.9398804,6.401082039
816.977478,6.408608913
816.0146484,6.430925369
815.0514526,6.566623688
813.9501343,7.489797592
812.986084,7.399986744
812.0216675,8.104026794
811.0568848,7.690593719
809.9537964,8.461811066
808.9881592,8.666685104
808.0221558,8.903389931
807.0557861,9.044714928
805.9508667,9.202497482
804.9836426,10.57458782
804.0161133,10.05720043
803.0480957,10.68290043
801.9414063,12.10639286
800.9726563,12.47282505
800.003479,13.22843266
799.0339355,13.69615459
798.0640869,14.50355053
796.9551392,15.73042107
795.984436,15.76372814
795.0133057,17.08951569
794.0418701,17.62647057
792.9311523,19.37948799
791.9589233,19.53150177
790.9862671,21.72409821
790.0132446,22.7865696
789.039856,24.28776932
788.0661011,25.89079475
786.9527588,27.09846878
785.9782104,29.00101852
785.0032959,30.85659218
784.0279541,33.22634506
783.0523071,34.95874023
781.9368286,36.73334885
780.9603271,39.22938538
779.9835205,41.36289215
779.0063477,43.20150757
778.0287476,45.91111374
777.0508423,48.87966156
775.9327393,50.54083633
774.9540405,53.90790558
773.9749146,55.55461502
772.9954834,58.80190659
772.015686,61.55065918
771.0354614,64.91815186
770.0549316,67.14255524
768.9338989,70.7318573
767.9525757,73.75167847
766.9708862,77.0139389
765.9888306,79.18527222
765.0064087,82.0665741
764.0236206,84.41767883
763.0405273,86.89859772
762.0570068,88.47283936
760.9326172,91.37561798
759.9483643,91.75923157
758.9637451,93.88773346
757.9787598,94.98200226
756.9934082,95.36416626
756.0076904,95.34970856
755.0216675,95.06145477
754.0352783,95.35002136
753.0485229,94.76454926
752.0614014,94.35714722
750.9328003,94.21409607
749.9449463,93.39851379
748.956665,93.14453125
747.9680786,92.56269073
746.979187,90.85588074
745.9898682,90.86302185
745.0002441,90.53928375
744.0102539,90.19384766
743.0198975,89.10633087
742.0291748,88.40789795
741.038147,88.69471741
740.0467529,87.67007446
739.0549927,87.93641663
738.0629272,87.33142853
737.0704346,86.91042328
735.935791,87.45001221
734.942627,87.46107483
733.9490967,87.13191986
732.9552002,87.24358368
731.9609375,87.20083618
730.9663696,87.29886627
729.9714966,87.71595001
728.9761963,87.84616852
727.9805908,87.78661346
726.9846191,88.00907135
725.9883423,88.62290192
724.9916992,88.2542572
723.994751,88.70883942
722.9973755,89.18449402
721.9997559,89.86261749
721.001709,90.54510498
720.003418,90.65740967
719.0046997,90.9056778
718.0056763,91.98634338
717.0062866,92.25086975
716.0065918,92.67136383
715.0065918,93.24441528
714.0062256,93.21688843
713.0054932,94.0703125
712.0044556,94.54456329
711.0030518,94.90518951
710.0013428,94.98088074
708.9992676,95.3493576
707.9968872,95.17855835
706.9941406,95.62693024
705.9910889,95.44176483
704.9876709,95.7432785
703.9839478,95.75951385
702.9799194,95.90455627
701.9755249,95.76000214
700.9707642,95.22594452
699.9656982,95.32940674
698.9603271,94.60784912
697.9546509,94.39643097
696.9485474,94.95065308
695.9421997,94.64791107
694.9354858,93.78766632
693.9284668,93.0905838
693.0650635,94.43687439
