Typical Measured Spectrum of Semrock FF593-Di02 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)	
354.8	0.389315880770627
355	0.38738433
355.2	0.385460828779955
355.4	0.383546878428795
355.6	0.381523354485096
355.8	0.379392094436064
356	0.37727274
356.2	0.374731940876144
356.4	0.37220825314016
356.6	0.36959169840819
356.8	0.366884479159885
357	0.36419709
357.2	0.363900661071478
357.4	0.363604473413718
357.6	0.3653325362552
357.8	0.369113770025384
358	0.37293414
358.2	0.384194872403746
358.4	0.395795622201097
358.6	0.411238178480415
358.8	0.430942062645451
359	0.45159003
359.2	0.477290754810194
359.4	0.504454149767844
359.6	0.532774160786161
359.8	0.562273202778314
360	0.59340557
360.2	0.621865735469159
360.4	0.651690871305098
360.6	0.677846312512963
360.8	0.699786288637567
361	0.7224364
361.2	0.73039169032258
361.4	0.738434582327629
361.6	0.737752567088709
361.8	0.728369798316636
362	0.71910636
362.2	0.694226856693537
362.4	0.670208129649401
362.6	0.641723028618837
362.8	0.609417904531217
363	0.57873906
363.2	0.546519137591736
363.4	0.516092982827208
363.6	0.4876624624994
363.8	0.461083407462658
364	0.43595299
364.2	0.413933991055449
364.4	0.393027121917647
364.6	0.37408532274712
364.8	0.356923821717056
365	0.34054962
365.2	0.32772066372173
365.4	0.3153749912574
365.6	0.304881964688135
365.8	0.296085592052602
366	0.28754301
366.2	0.282000086511985
366.4	0.276564013128913
366.6	0.272648066578525
366.8	0.270190144203914
367	0.26775438
367.2	0.267818268566262
367.4	0.267882172376902
367.6	0.269494333116262
367.8	0.27268275524195
368	0.2759089
368.2	0.280629360709792
368.4	0.285430582675609
368.6	0.291262831160167
368.8	0.298185687903381
369	0.30527309
369.2	0.313026197930033
369.4	0.320976213758415
369.6	0.329209860732734
369.8	0.337738555790623
370	0.3464882
370.2	0.355229572042942
370.4	0.364191475651441
370.6	0.372265542193682
370.8	0.379383378443833
371	0.38663731
371.2	0.392466733942658
371.4	0.398384049515596
371.6	0.402954211311143
371.8	0.406129113029841
372	0.40932903
372.2	0.409252075149566
372.4	0.409175134766831
372.6	0.408106406352045
372.8	0.406053655569273
373	0.40401123
373.2	0.39911057660181
373.4	0.394269368095113
373.6	0.389348659762032
373.8	0.384352914597649
374	0.37942127
374.2	0.375970313063756
374.4	0.372550743676701
374.6	0.370277267403016
374.8	0.369129198871271
375	0.36798469
375.2	0.370483572689904
375.4	0.372999424603984
375.6	0.378572910171316
375.8	0.387340644878619
376	0.39631144
376.2	0.409656877401872
376.4	0.423451710610859
376.6	0.440102619874094
376.8	0.459907441850676
377	0.48060349
377.2	0.502956651854206
377.4	0.52634947291871
377.6	0.550069004553702
377.8	0.574062926748347
378	0.59910346
378.2	0.618792102401932
378.4	0.639127782695501
378.6	0.657259286390899
378.8	0.672964050852704
379	0.68904407
379.2	0.694922227161966
379.4	0.700850530218984
379.6	0.700002932499523
379.8	0.692403990768673
380	0.68488754
380.2	0.667833794278634
380.4	0.651204687970521
380.6	0.632532790006146
380.8	0.612019089616418
381	0.59217067
381.2	0.576194777909553
381.4	0.560649891846617
381.6	0.549900284807018
381.8	0.543683212864943
382	0.53753643
382.2	0.540987090862717
382.4	0.544459902894593
382.6	0.552004581183779
382.8	0.563789838404333
383	0.57582671
383.2	0.593180841939004
383.4	0.611057988684592
383.6	0.629597593431981
383.8	0.648827151212602
384	0.66864403
384.2	0.687203822555874
384.4	0.706278785941461
384.6	0.722095738471344
384.8	0.734414811521069
385	0.74694405
385.2	0.749945299595035
385.4	0.752958608325064
385.6	0.750301426033185
385.8	0.742033640472168
386	0.73385696
386.2	0.714032937713214
386.4	0.694744431039207
386.6	0.669616311697606
386.8	0.639324130214008
387	0.61040231
387.2	0.570933121646076
387.4	0.534016048190467
387.6	0.493778828518295
387.8	0.451356506861967
388	0.41257884
388.2	0.369980321538848
388.4	0.331780074630073
388.6	0.295833765747166
388.8	0.26228348731738
389	0.23253812
389.2	0.206364989530561
389.4	0.183137753517352
389.6	0.163469352316943
389.8	0.146761248562476
390	0.13176087
390.2	0.120448824613596
390.4	0.110107950492409
390.6	0.101833597005378
390.8	0.0952839566042718
391	0.08915557
391.2	0.0854095122361416
391.4	0.0818208529250121
391.6	0.0792149841396792
391.8	0.0775061658346941
392	0.07583421
392.2	0.0758409175550298
392.4	0.0758476257033444
392.6	0.076711266999138
392.8	0.0784612232830622
393	0.0802511
