XF2045,400-485-580TBDR
Wavelength (nm),%T
857.0252686,88.78177643
855.9432983,89.29454803
854.9961548,87.75075531
854.048584,86.34313965
852.9651489,86.22167206
852.0167236,84.86277008
850.932312,84.56436157
849.9830322,83.8458252
849.0333862,82.48409271
847.9475098,81.45496368
846.9969482,80.7526474
846.0460205,80.70806122
844.9587402,80.61656189
844.006958,79.22331238
843.0547485,78.25494385
841.9660034,78.7744751
841.0130005,79.14503479
840.0595093,77.54087067
838.9693604,78.33036041
838.0150757,78.26966858
837.0603638,78.63622284
835.968811,79.06334686
835.0133057,79.54646301
834.057373,79.72468567
832.9643555,80.94768524
832.0076294,80.58840942
831.050415,81.48236084
829.9560547,82.68208313
828.9980469,82.94765472
828.0396118,83.13822937
826.9438477,83.8258667
825.9846191,84.59832001
825.0249634,85.06508636
824.0649414,85.0368042
822.9672852,84.92441559
822.0064697,85.98993683
821.0452271,85.8077774
819.946167,86.23856354
818.9841309,85.84514618
818.0216675,85.63041687
817.0588379,84.76106262
815.9579468,84.41007996
814.9943237,84.50906372
814.0302734,82.70546722
813.0657959,82.94163513
811.9631348,81.85586548
810.9978638,80.57073212
810.0322266,80.60148621
809.0662231,78.28218079
807.961731,78.13692474
806.994873,77.86799622
806.0276489,76.96365356
805.0600586,76.71730804
803.9537354,76.02320862
802.9853516,75.58840179
802.0165405,75.40114594
801.0473633,75.83599091
799.93927,75.40284729
798.9692993,75.20141602
797.9989014,76.13755798
797.0281982,76.09371185
796.0570679,77.33940887
794.9467773,78.42424774
793.9748535,79.65089417
793.0025635,80.17999268
792.0298462,81.33009338
791.0568237,81.89820862
789.9443359,83.28911591
788.970459,84.74526978
787.9962769,84.8714447
787.0216675,86.54347992
786.0467529,87.48932648
784.9320068,86.85971832
783.9562988,88.00717926
782.9801636,86.4055481
782.0036621,85.61462402
781.0267944,85.1425705
780.0495605,84.1750412
778.932312,81.28207397
777.9542847,80.24197388
776.9758911,77.9782486
775.9971313,76.26147461
775.0180054,73.51319885
774.0385132,72.098526
773.0586548,70.72647858
771.9384155,68.29584503
770.9577637,67.85407257
769.9767456,67.22396851
768.9954224,66.55503845
768.0136719,66.22510529
767.0316162,66.51564789
766.0491333,67.16881561
765.0663452,68.06257629
763.942688,70.00177765
762.9591064,71.98383331
761.9751587,73.24472809
760.9908447,75.47131348
760.0062256,75.6289444
759.0211792,75.79819489
758.0358276,73.24787903
757.0500488,70.39457703
756.0639648,67.77203369
754.9365845,63.37448883
753.949707,58.71893692
752.9625244,56.29658508
751.9749146,52.3605423
750.9869995,49.8323288
749.9987183,46.87345123
749.0101318,43.36017227
748.0211182,38.66581726
747.0317993,35.48005295
746.0421143,31.41263199
745.052063,27.38870049
744.0616455,25.02568054
742.9293213,20.60176659
741.9381714,17.12847328
740.9467163,13.88044643
739.954834,12.27098656
738.9626465,10.22687435
737.9700928,8.523395538
736.9772339,7.219285011
735.9839478,6.463379383
734.9903564,5.23325634
733.99646,4.623588085
733.0021362,3.876060724
732.0075073,3.433869839
731.0125732,2.955561399
730.0172119,2.599428892
729.0215454,2.650929689
728.0255737,2.533626556
727.0292358,2.253777266
726.0325317,1.789803267
725.0354614,1.779990792
724.0380859,1.875567794
723.0403442,1.80732286
722.0422974,1.524708152
721.0438843,1.018695474
720.045166,1.330714345
719.0460815,0.903385401
718.0466309,1.086510062
717.046875,1.014835596
716.046814,0.852033138
715.0463257,1.061255336
714.0455933,0.760108471
713.0444336,0.856117427
712.0430298,0.818659365
711.0411987,0.732730866
710.0391235,0.679473698
709.0366211,0.640482664
708.0338745,0.697997153
707.0307007,0.727384806
706.0272827,0.762095094
705.0234375,0.682453692
704.0193481,0.528902769
703.0148926,0.773811042
702.0100708,0.812187433
701.0049438,0.746266544
