Typical Measured Spectrum of Semrock FF505/606-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
544.6	0.94199
544.8	0.94196
545.0	0.94139
545.2	0.94157
545.4	0.93983
545.6	0.93904
545.8	0.94001
546.0	0.93935
546.2	0.93808
546.4	0.93704
546.6	0.93392
546.8	0.93322
547.0	0.93223
547.2	0.93223
547.4	0.93051
547.6	0.93106
547.8	0.93037
548.0	0.92996
548.2	0.92952
548.4	0.92871
548.6	0.92756
548.8	0.92617
549.0	0.92492
549.2	0.92396
549.4	0.92058
549.6	0.91723
549.8	0.91488
550.0	0.91105
550.2	0.90343
550.4	0.89837
550.6	0.89092
550.8	0.88279
551.0	0.87666
551.2	0.86877
551.4	0.86189
551.6	0.85544
551.8	0.84879
552.0	0.84218
552.2	0.83884
552.4	0.83338
552.6	0.82572
552.8	0.81737
553.0	0.80852
553.2	0.79781
553.4	0.7849
553.6	0.76957
553.8	0.75176
554.0	0.73198
554.2	0.71025
554.4	0.68105
554.6	0.65341
554.8	0.62356
555.0	0.59465
555.2	0.56292
555.4	0.52957
555.6	0.49884
555.8	0.47275
556.0	0.44322
556.2	0.41476
556.4	0.38834
556.6	0.36266
556.8	0.34084
557.0	0.32152
557.2	0.31034
557.4	0.29625
557.6	0.28309
557.8	0.27297
558.0	0.26634
558.2	0.26073
558.4	0.25652
558.6	0.25316
558.8	0.25222
559.0	0.2519
559.2	0.25309
559.4	0.25465
559.6	0.25668
559.8	0.26021
560.0	0.26208
560.2	0.26668
560.4	0.27151
560.6	0.27785
560.8	0.28189
561.0	0.28466
561.2	0.28691
561.4	0.28587
561.6	0.28402
561.8	0.28047
562.0	0.27391
562.2	0.26509
562.4	0.25353
562.6	0.24083
562.8	0.22885
563.0	0.21302
563.2	0.19618
563.4	0.17896
563.6	0.16134
563.8	0.14399
564.0	0.12771
564.2	0.11593
564.4	0.10125
564.6	0.08781
564.8	0.07624
565.0	0.06597
565.2	0.057
565.4	0.04959
565.6	0.04462
565.8	0.03893
566.0	0.03409
566.2	0.03006
566.4	0.02656
566.6	0.0236
566.8	0.02106
567.0	0.01882
567.2	0.01705
567.4	0.01544
567.6	0.014
567.8	0.01273
568.0	0.01167
568.2	0.01079
568.4	0.00948
568.6	0.00919
568.8	0.00869
