Typical Measured Spectrum of Semrock FF01-536/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
404.2	3.0005e-07
404.4	2.9235e-07
404.6	2.8485e-07
404.8	2.7755e-07
405.0	2.7043e-07
405.2	2.635e-07
405.4	2.5674e-07
405.6	2.5016e-07
405.8	2.4374e-07
406.0	2.3749e-07
406.2	2.314e-07
406.4	2.2546e-07
406.6	2.1968e-07
406.8	2.1405e-07
407.0	2.1269e-07
407.2	2.1513e-07
407.4	2.1759e-07
407.6	2.2008e-07
407.8	2.226e-07
408.0	2.2515e-07
408.2	2.2772e-07
408.4	2.3033e-07
408.6	2.3297e-07
408.8	2.3564e-07
409.0	2.3833e-07
409.2	2.4106e-07
409.4	2.4382e-07
409.6	2.4661e-07
409.8	2.4943e-07
410.0	2.5229e-07
410.2	2.5178e-07
410.4	2.5126e-07
410.6	2.5075e-07
410.8	2.5024e-07
411.0	2.4973e-07
411.2	2.4922e-07
411.4	2.4872e-07
411.6	2.4821e-07
411.8	2.477e-07
412.0	2.472e-07
412.2	2.467e-07
412.4	2.462e-07
412.6	2.4569e-07
412.8	2.4519e-07
413.0	2.4896e-07
413.2	2.5392e-07
413.4	2.5898e-07
413.6	2.6414e-07
413.8	2.694e-07
414.0	2.7476e-07
414.2	2.8024e-07
414.4	2.8582e-07
414.6	2.9151e-07
414.8	2.9731e-07
415.0	3.0324e-07
415.2	3.0927e-07
415.4	3.1543e-07
415.6	3.2172e-07
415.8	3.2812e-07
416.0	3.3466e-07
416.2	3.4132e-07
416.4	3.4812e-07
416.6	3.5505e-07
416.8	3.6213e-07
417.0	3.7281e-07
417.2	3.8647e-07
417.4	4.0064e-07
417.6	4.1532e-07
417.8	4.3054e-07
418.0	4.4632e-07
418.2	4.6267e-07
418.4	4.7963e-07
418.6	4.9721e-07
418.8	5.1543e-07
419.0	5.3432e-07
419.2	5.539e-07
419.4	5.742e-07
419.6	5.9524e-07
419.8	6.1706e-07
420.0	6.3967e-07
420.2	6.6241e-07
420.4	6.8597e-07
420.6	7.1036e-07
420.8	7.3562e-07
421.0	7.6177e-07
421.2	7.8886e-07
421.4	8.1691e-07
421.6	8.4596e-07
421.8	8.7604e-07
422.0	9.0719e-07
422.2	9.3944e-07
422.4	9.7285e-07
422.6	1.0074e-06
422.8	1.0433e-06
423.0	1.0618e-06
423.2	1.0745e-06
423.4	1.0874e-06
423.6	1.1004e-06
423.8	1.1135e-06
424.0	1.1269e-06
424.2	1.1403e-06
424.4	1.154e-06
424.6	1.1678e-06
424.8	1.1817e-06
425.0	1.1958e-06
425.2	1.1868e-06
425.4	1.1779e-06
425.6	1.169e-06
425.8	1.1602e-06
426.0	1.1515e-06
426.2	1.1428e-06
426.4	1.1342e-06
426.6	1.1257e-06
426.8	1.1172e-06
427.0	1.1465e-06
427.2	1.2107e-06
427.4	1.2784e-06
427.6	1.3499e-06
427.8	1.4254e-06
428.0	1.4366e-06
428.2	1.4267e-06
428.4	1.4168e-06
428.6	1.407e-06
428.8	1.3973e-06
429.0	1.3877e-06
429.2	1.3781e-06
429.4	1.3686e-06
429.6	1.3591e-06
429.8	1.3498e-06
430.0	1.3404e-06
430.2	1.3732e-06
430.4	1.4068e-06
430.6	1.4412e-06
430.8	1.4764e-06
431.0	1.5125e-06
431.2	1.5495e-06
431.4	1.5874e-06
431.6	1.6262e-06
431.8	1.666e-06
432.0	1.5864e-06
432.2	1.4228e-06
432.4	1.2761e-06
432.6	1.1445e-06
432.8	1.0264e-06
433.0	9.2059e-07
433.2	8.2566e-07
433.4	7.4052e-07
433.6	6.6415e-07
433.8	5.9566e-07
434.0	5.3424e-07
434.2	4.7914e-07
434.4	4.2973e-07
434.6	3.8542e-07
434.8	3.4567e-07
435.0	3.1003e-07
435.2	3.1222e-07
435.4	3.1443e-07
435.6	3.1666e-07
435.8	3.189e-07
436.0	3.2116e-07
436.2	3.2343e-07
436.4	3.2572e-07
436.6	3.2802e-07
436.8	3.3035e-07
437.0	3.3268e-07
437.2	3.3504e-07
437.4	3.3741e-07
437.6	3.398e-07
437.8	3.422e-07
438.0	3.4463e-07
438.2	3.4707e-07
438.4	3.4952e-07
438.6	3.52e-07
438.8	3.5449e-07
439.0	3.57e-07
439.2	3.5999e-07
439.4	3.6302e-07
439.6	3.6608e-07
439.8	3.6916e-07
440.0	3.7227e-07
440.2	3.754e-07
440.4	3.7856e-07
440.6	3.8175e-07
440.8	3.8496e-07
441.0	3.8821e-07
441.2	3.9147e-07
441.4	3.9477e-07
441.6	3.9809e-07
441.8	4.0145e-07
442.0	4.0483e-07
442.2	4.0824e-07
442.4	4.1167e-07
442.6	4.15e-07
442.8	4.1808e-07
443.0	4.2118e-07
443.2	4.2431e-07
443.4	4.2745e-07
443.6	4.3062e-07
443.8	4.3382e-07
444.0	4.3704e-07
444.2	4.4028e-07
444.4	4.4354e-07
444.6	4.4683e-07
444.8	4.5015e-07
445.0	4.5348e-07
445.2	4.5685e-07
445.4	4.6024e-07
445.6	4.6365e-07
445.8	4.6709e-07
446.0	4.7055e-07
446.2	4.4397e-07
446.4	4.1426e-07
446.6	3.8654e-07
446.8	3.6067e-07
447.0	3.3654e-07
447.2	3.1402e-07
447.4	2.93e-07
447.6	2.734e-07
447.8	2.551e-07
448.0	2.3803e-07
448.2	2.221e-07
448.4	2.0724e-07
448.6	1.9337e-07
448.8	1.8043e-07
449.0	1.6836e-07
449.2	1.5709e-07
449.4	1.4658e-07
449.6	1.3677e-07
449.8	1.2762e-07
450.0	1.1908e-07
450.2	4.6392e-08
450.4	4.4722e-08
450.6	9.6205e-08
450.8	1.0955e-07
451.0	5.6694e-08
451.2	2.3435e-07
451.4	1.331e-07
451.6	2.3259e-07
451.8	7.9631e-08
452.0	9.9333e-08
452.2	2.1986e-07
452.4	1.2432e-07
452.6	5.2032e-08
452.8	5.5438e-08
453.0	4.8137e-08
453.2	1.1201e-07
453.4	2.0542e-07
453.6	1.222e-07
453.8	8.8338e-08
454.0	5.2199e-08
454.2	1.0828e-07
