Typical Measured Spectrum of Semrock BLP01-635R Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
448.0	2.0421e-06
448.2	2.4634e-06
448.4	2.9715e-06
448.6	3.5845e-06
448.8	4.324e-06
449.0	5.216e-06
449.2	6.292e-06
449.4	7.5899e-06
449.6	9.1557e-06
449.8	1.1044e-05
450.0	1.3323e-05
450.2	1.2774e-05
450.4	1.1151e-05
450.6	9.7349e-06
450.8	8.4983e-06
451.0	7.4188e-06
451.2	6.4765e-06
451.4	5.6538e-06
451.6	4.9356e-06
451.8	4.3087e-06
452.0	3.7614e-06
452.2	3.2836e-06
452.4	2.8665e-06
452.6	2.5024e-06
452.8	2.1845e-06
453.0	1.9071e-06
453.2	1.6638e-06
453.4	1.4515e-06
453.6	1.2664e-06
453.8	1.1048e-06
454.0	9.639e-07
454.2	8.4095e-07
454.4	7.3367e-07
454.6	6.4008e-07
454.8	5.5843e-07
455.0	4.872e-07
455.2	4.2505e-07
455.4	3.7083e-07
455.6	3.2352e-07
455.8	2.8226e-07
456.0	2.4625e-07
456.2	2.3453e-07
456.4	2.2519e-07
456.6	2.1622e-07
456.8	2.0761e-07
457.0	1.9934e-07
457.2	1.914e-07
457.4	1.8378e-07
457.6	1.7646e-07
457.8	1.6943e-07
458.0	1.6269e-07
458.2	1.5621e-07
458.4	1.4999e-07
458.6	1.4401e-07
458.8	1.3828e-07
459.0	1.3277e-07
459.2	1.2749e-07
459.4	1.2241e-07
459.6	1.1753e-07
459.8	1.1285e-07
460.0	1.0836e-07
460.2	1.0639e-07
460.4	1.0552e-07
460.6	1.0467e-07
460.8	1.0382e-07
461.0	1.0298e-07
461.2	1.0215e-07
461.4	1.0132e-07
461.6	1.005e-07
461.8	9.9685e-08
462.0	9.8878e-08
462.2	9.8077e-08
462.4	9.7282e-08
462.6	9.6495e-08
462.8	9.5713e-08
463.0	9.4938e-08
463.2	8.7666e-08
463.4	8.0952e-08
463.6	7.4752e-08
463.8	6.9026e-08
464.0	6.374e-08
464.2	5.8858e-08
464.4	5.435e-08
464.6	5.0187e-08
464.8	4.6343e-08
465.0	4.2794e-08
465.2	3.9516e-08
465.4	3.649e-08
465.6	3.3695e-08
465.8	3.1114e-08
466.0	2.8731e-08
466.2	3.0752e-08
466.4	3.3199e-08
466.6	3.584e-08
466.8	3.8692e-08
467.0	4.1771e-08
467.2	4.5095e-08
467.4	4.8683e-08
467.6	5.2557e-08
467.8	5.6739e-08
468.0	6.1254e-08
468.2	6.6128e-08
468.4	7.139e-08
468.6	7.707e-08
468.8	8.3203e-08
469.0	8.9824e-08
469.2	9.6971e-08
469.4	1.0469e-07
469.6	1.1302e-07
469.8	1.2201e-07
470.0	1.3172e-07
470.2	1.4002e-07
470.4	1.4849e-07
470.6	1.5746e-07
470.8	1.6699e-07
471.0	1.7708e-07
471.2	1.8779e-07
471.4	1.9914e-07
471.6	2.1118e-07
471.8	2.2395e-07
472.0	2.375e-07
472.2	2.5186e-07
472.4	2.6708e-07
472.6	2.8323e-07
472.8	3.0036e-07
473.0	3.1852e-07
473.2	3.1504e-07
473.4	3.1058e-07
473.6	3.0618e-07
473.8	3.0185e-07
474.0	2.9757e-07
474.2	2.9336e-07
474.4	2.892e-07
474.6	2.8511e-07
474.8	2.8107e-07
475.0	2.7709e-07
475.2	2.7317e-07
475.4	2.693e-07
475.6	2.6549e-07
475.8	2.6173e-07
476.0	2.5802e-07
476.2	2.5437e-07
476.4	2.5077e-07
476.6	2.4722e-07
476.8	2.4371e-07
477.0	2.4026e-07
477.2	2.1157e-07
477.4	1.777e-07
477.6	1.4925e-07
477.8	1.2536e-07
478.0	1.0529e-07
478.2	8.8437e-08
478.4	7.428e-08
478.6	6.2389e-08
