Typical Measured Spectrum of Semrock FF01-561/14 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
423.6	1.609E-08
423.8	1.6035E-08
424	1.598E-08
424.2	1.5925E-08
424.4	1.5871E-08
424.6	1.5816E-08
424.8	1.5762E-08
425	1.6517E-08
425.2	1.7657E-08
425.4	1.8877E-08
425.6	2.018E-08
425.8	2.1574E-08
426	2.3064E-08
426.2	2.4657E-08
426.4	2.6359E-08
426.6	2.818E-08
426.8	3.0126E-08
427	2.9733E-08
427.2	2.7729E-08
427.4	2.5861E-08
427.6	2.4118E-08
427.8	2.2492E-08
428	2.0977E-08
428.2	1.9563E-08
428.4	1.8244E-08
428.6	1.7015E-08
428.8	1.5868E-08
429	1.6192E-08
429.2	1.8325E-08
429.4	2.0739E-08
429.6	2.3472E-08
429.8	2.6564E-08
430	3.0063E-08
430.2	3.4023E-08
430.4	3.8506E-08
430.6	4.3578E-08
430.8	4.9319E-08
431	5.4427E-08
431.2	5.3109E-08
431.4	5.1823E-08
431.6	5.0568E-08
431.8	4.9343E-08
432	4.8148E-08
432.2	4.6983E-08
432.4	4.5845E-08
432.6	4.4735E-08
432.8	4.3651E-08
433	3.8667E-08
433.2	3.3717E-08
433.4	2.94E-08
433.6	2.5636E-08
433.8	2.2354E-08
434	1.9492E-08
434.2	1.6997E-08
434.4	1.4821E-08
434.6	1.2923E-08
434.8	1.1269E-08
435	1.0855E-08
435.2	1.0839E-08
435.4	1.0823E-08
435.6	1.0807E-08
435.8	1.0791E-08
436	1.0775E-08
436.2	1.0759E-08
436.4	1.0743E-08
436.6	1.0727E-08
436.8	1.0711E-08
437	1.0707E-08
437.2	1.0709E-08
437.4	1.0712E-08
437.6	1.0714E-08
437.8	1.0717E-08
438	1.0719E-08
438.2	1.0722E-08
438.4	1.0724E-08
438.6	1.0727E-08
438.8	1.073E-08
439	1.1799E-08
439.2	1.4294E-08
439.4	1.7315E-08
439.6	2.0976E-08
439.8	2.541E-08
440	3.0781E-08
440.2	3.7288E-08
440.4	4.517E-08
440.6	5.4719E-08
440.8	6.6286E-08
441	7.4475E-08
441.2	6.07E-08
441.4	4.9473E-08
441.6	4.0323E-08
441.8	3.2865E-08
442	2.6786E-08
442.2	2.1832E-08
442.4	1.7794E-08
442.6	1.4503E-08
442.8	1.182E-08
443	1.1429E-08
443.2	1.143E-08
443.4	1.1432E-08
443.6	1.1433E-08
443.8	1.1434E-08
444	1.1435E-08
444.2	1.1436E-08
444.4	1.1438E-08
444.6	1.1439E-08
444.8	1.144E-08
445	1.138E-08
445.2	1.1297E-08
445.4	1.1214E-08
445.6	1.1132E-08
445.8	1.1051E-08
446	1.097E-08
446.2	1.089E-08
446.4	1.081E-08
446.6	1.0731E-08
446.8	1.0652E-08
447	1.1902E-08
447.2	1.439E-08
447.4	1.7397E-08
447.6	2.1034E-08
447.8	2.543E-08
448	3.0746E-08
448.2	3.7172E-08
448.4	4.4942E-08
448.6	5.4335E-08
448.8	6.5692E-08
449	6.6086E-08
449.2	5.4903E-08
449.4	4.5613E-08
449.6	3.7895E-08
449.8	3.1483E-08
450	2.6156E-08
450.2	2.173E-08
