XF2044,490-575DBDR
Wavelength (nm),%T
1016.943481,79.26615906
1015.950562,80.09828186
1014.95697,78.92004395
1013.962769,81.71612549
1012.967957,81.87099457
1011.972534,82.81385803
1010.976501,84.30012512
1009.979797,85.74814606
1008.982483,85.34013367
1007.984558,83.31546783
1006.986023,81.46089935
1005.986816,83.89932251
1004.987061,82.84922028
1003.986633,82.52744293
1002.985596,82.41973877
1001.983948,81.90686035
1000.981689,80.28918457
999.9788208,80.04595947
998.9752808,77.1023407
997.9711914,75.65311432
996.9664307,73.90235901
995.9611206,72.18217468
994.9551392,69.69126129
993.9485474,67.94426727
992.9414063,66.22255707
992.0595703,64.76442719
991.0512695,62.68043518
990.0422974,59.46146393
989.0327759,57.81977844
988.022583,56.08554077
987.0117798,54.41051102
986.0004272,51.94199753
984.9884033,49.15531158
983.9758301,48.02964783
982.9626465,46.33257675
981.9487915,44.11959839
981.0612183,42.7159729
980.0462646,41.77808762
979.0307617,39.95661926
978.0145874,38.1786499
976.9978027,36.6340332
975.9804688,35.40092468
974.9624634,34.12147141
973.9439087,32.20711517
973.0521851,32.66104126
972.0325317,30.21674538
971.012207,29.56721497
969.991333,28.54866028
968.9698486,27.10813904
967.9477539,27.53066635
967.0529175,25.54878044
966.0297241,25.20113373
965.0059204,24.48535538
963.9815674,23.13195992
962.956543,22.40961456
962.0592041,22.46235275
961.0331421,21.55026627
960.0064087,20.86356735
958.979126,20.99707603
957.9512329,20.11540031
957.0513916,19.35474777
956.0223999,18.34325981
954.9927979,19.37054634
953.9626465,17.9852047
953.060791,18.6740284
952.029541,17.36649513
950.9976807,17.2875309
949.96521,16.97333717
949.0614014,16.65940285
948.027832,16.27840614
946.9937134,16.15280724
945.9590454,16.1848774
945.0531616,16.3657589
944.017395,15.26898575
942.9810181,16.04420853
941.9440308,15.49608898
941.0361938,15.40181637
939.9981689,15.30460739
938.9595337,15.22522831
938.050293,14.92762852
937.0105591,14.94413948
935.9702759,14.8702383
935.0595093,14.67774391
934.0181274,14.89755344
932.9761963,15.30066013
932.0640259,15.72378731
931.0209961,16.0884304
929.977417,15.22523594
929.0637817,15.15190411
928.019104,15.02168179
926.973877,15.66362381
926.0587769,16.05637932
925.0124512,15.91028023
923.9655762,15.87271214
923.0490723,16.04163933
922.0011597,16.70411682
920.9525757,16.78018379
920.034668,16.73592567
918.9851074,17.28307343
917.9349365,17.25627518
917.015564,18.04538918
915.9643555,18.33063507
915.0440674,18.79972267
