Typical Measured Spectrum of Semrock FF01-515/LP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
506.6	1.1307e-07
506.8	1.1526e-07
507.0	1.175e-07
507.2	1.1978e-07
507.4	1.2255e-07
507.6	1.2612e-07
507.8	1.2979e-07
508.0	1.3358e-07
508.2	1.3747e-07
508.4	1.4147e-07
508.6	1.4559e-07
508.8	1.4984e-07
509.0	1.542e-07
509.2	1.5869e-07
509.4	1.8499e-07
509.6	2.666e-07
509.8	3.8421e-07
510.0	5.5372e-07
510.2	7.98e-07
510.4	1.0403e-06
510.6	1.1523e-06
510.8	1.3507e-06
511.0	1.3267e-06
511.2	1.2677e-06
511.4	1.2113e-06
511.6	1.1502e-06
511.8	1.041e-06
512.0	1.0425e-06
512.2	1.2627e-06
512.4	1.5088e-06
512.6	1.4584e-06
512.8	1.4269e-06
513.0	1.3962e-06
513.2	1.3661e-06
513.4	1.3366e-06
513.6	1.3078e-06
513.8	1.2796e-06
514.0	1.252e-06
514.2	1.2251e-06
514.4	1.2161e-06
514.6	1.2393e-06
514.8	1.2629e-06
515.0	1.287e-06
515.2	1.3115e-06
515.4	1.3365e-06
515.6	1.362e-06
515.8	1.3879e-06
516.0	1.4144e-06
516.2	1.6044e-06
516.4	1.811e-06
516.6	1.8519e-06
516.8	2.7879e-06
517.0	3.6248e-06
517.2	4.6462e-06
517.4	6.3847e-06
517.6	9.9214e-06
517.8	1.63e-05
518.0	2.6015e-05
518.2	3.9938e-05
518.4	5.9104e-05
518.6	8.4748e-05
518.8	1.1556e-04
519.0	1.5554e-04
519.2	2.0737e-04
519.4	2.7595e-04
519.6	3.6995e-04
519.8	5.0568e-04
520.0	7.1546e-04
520.2	0.00105
520.4	0.00159
520.6	0.00248
520.8	0.00404
521.0	0.00703
521.2	0.01244
521.4	0.02152
521.6	0.03909
521.8	0.0736
522.0	0.14453
522.2	0.26771
522.4	0.44191
522.6	0.63944
522.8	0.80965
523.0	0.91842
523.2	0.95267
523.4	0.95866
523.6	0.96299
523.8	0.96458
524.0	0.96562
524.2	0.96942
524.4	0.97943
524.6	0.98307
524.8	0.97085
525.0	0.97226
525.2	0.97615
525.4	0.98167
525.6	0.97631
525.8	0.97493
526.0	0.98242
526.2	0.98803
526.4	0.97635
526.6	0.97506
526.8	0.98511
527.0	0.98115
527.2	0.9773
527.4	0.96932
527.6	0.97778
527.8	0.97672
528.0	0.97882
528.2	0.97227
528.4	0.97552
528.6	0.97744
528.8	0.97238
529.0	0.97004
529.2	0.97805
529.4	0.98767
529.6	0.98479
529.8	0.98204
530.0	0.98535
530.2	0.98468
530.4	0.98584
530.6	0.97864
530.8	0.97831
531.0	0.97753
531.2	0.97964
531.4	0.97413
531.6	0.97584
531.8	0.97237
532.0	0.97905
532.2	0.98392
532.4	0.97655
532.6	0.97354
532.8	0.97059
533.0	0.97757
533.2	0.97899
533.4	0.97921
533.6	0.98426
533.8	0.98518
534.0	0.98907
534.2	0.98509
534.4	0.97543
534.6	0.98547
534.8	0.98003
535.0	0.97493
535.2	0.97565
535.4	0.97181
535.6	0.9807
535.8	0.97145
536.0	0.96908
536.2	0.98038
536.4	0.98282
536.6	0.9807
536.8	0.98002
537.0	0.98061
537.2	0.978
537.4	0.98831
537.6	0.97842
537.8	0.97058
538.0	0.97548
538.2	0.98029
538.4	0.98412
538.6	0.98131
538.8	0.98925
539.0	0.98412
539.2	0.9789
539.4	0.97469
539.6	0.98391
539.8	0.97972
540.0	0.98744
540.2	0.99046
540.4	0.97369
540.6	0.97698
540.8	0.97652
541.0	0.97751
541.2	0.97617
541.4	0.97624
541.6	0.97037
541.8	0.97639
542.0	0.97465
542.2	0.97544
542.4	0.97395
542.6	0.9794
542.8	0.98175
543.0	0.98476
543.2	0.97757
543.4	0.97287
543.6	0.9791
543.8	0.97208
544.0	0.97264
544.2	0.98179
544.4	0.99122
544.6	0.98324
544.8	0.98371
545.0	0.97949
545.2	0.98489
545.4	0.97337
545.6	0.9754
545.8	0.97532
546.0	0.97495
546.2	0.97753
546.4	0.97539
546.6	0.979
546.8	0.97805
547.0	0.97548
547.2	0.97678
547.4	0.97328
547.6	0.96908
547.8	0.97148
548.0	0.97774
548.2	0.9757
548.4	0.97808
548.6	0.97358
548.8	0.97466
549.0	0.9753
549.2	0.97679
549.4	0.97499
549.6	0.98296
549.8	0.97545
550.0	0.97896
550.2	0.98814
550.4	0.98389
550.6	0.98089
550.8	0.98384
551.0	0.98249
551.2	0.9805
551.4	0.98019
551.6	0.97504
551.8	0.98159
552.0	0.97337
552.2	0.97887
552.4	0.97552
552.6	0.97827
552.8	0.97738
553.0	0.9759
553.2	0.9699
553.4	0.97151
553.6	0.97428
553.8	0.97749
554.0	0.96749
554.2	0.9706
554.4	0.97242
554.6	0.96795
554.8	0.97392
555.0	0.97422
555.2	0.97554
555.4	0.97191
555.6	0.97701
555.8	0.97628
556.0	0.97838
556.2	0.98293
556.4	0.98055
556.6	0.98078
556.8	0.98388
557.0	0.98894
557.2	0.98376
557.4	0.98509
557.6	0.98314
557.8	0.98142
558.0	0.97687
558.2	0.97819
558.4	0.97759
558.6	0.9817
558.8	0.97759
559.0	0.97793
559.2	0.98318
559.4	0.97839
559.6	0.97078
559.8	0.97396
560.0	0.97807
560.2	0.97828
560.4	0.97591
560.6	0.9702
560.8	0.97279
561.0	0.97642
561.2	0.97225
561.4	0.97816
561.6	0.97322
561.8	0.97334
562.0	0.97795
562.2	0.97643
562.4	0.97086
562.6	0.97255
562.8	0.97503
563.0	0.97764
563.2	0.97387
563.4	0.97276
563.6	0.97747
563.8	0.97695
564.0	0.9782
564.2	0.98007
564.4	0.98257
564.6	0.98309
564.8	0.98144
565.0	0.98003
565.2	0.98219
565.4	0.983
565.6	0.98437
565.8	0.98508
566.0	0.98201
566.2	0.98462
566.4	0.98259
566.6	0.98374
566.8	0.98312
567.0	0.9824
567.2	0.98067
567.4	0.97977
567.6	0.97733
567.8	0.97755
568.0	0.97852
568.2	0.9778
568.4	0.97982
568.6	0.97769
568.8	0.9772
569.0	0.9796
569.2	0.97846
569.4	0.97368
569.6	0.97294
569.8	0.97362
570.0	0.9706
570.2	0.97303
570.4	0.97584
570.6	0.97706
570.8	0.97596
571.0	0.97728
571.2	0.9763
571.4	0.97426
571.6	0.97528
571.8	0.97664
572.0	0.97872
572.2	0.98241
572.4	0.98265
572.6	0.98151
572.8	0.98358
573.0	0.98194
573.2	0.98184
573.4	0.98616
573.6	0.98874
573.8	0.98276
574.0	0.976
574.2	0.98101
574.4	0.98287
574.6	0.98084
574.8	0.98703
575.0	0.98532
575.2	0.97843
575.4	0.97407
575.6	0.97465
575.8	0.97905
576.0	0.97665
576.2	0.97731
576.4	0.98052
576.6	0.9781
576.8	0.97325
577.0	0.9712
577.2	0.97716
577.4	0.98088
577.6	0.97767
577.8	0.97588
578.0	0.97218
578.2	0.96945
578.4	0.97935
578.6	0.98018
578.8	0.97628
579.0	0.97793
579.2	0.98504
579.4	0.98502
579.6	0.98235
579.8	0.9825
580.0	0.9836
580.2	0.98311
580.4	0.9825
580.6	0.97984
580.8	0.98021
581.0	0.98423
581.2	0.98703
581.4	0.98098
581.6	0.98184
581.8	0.98993
582.0	0.98728
582.2	0.98483
582.4	0.98216
582.6	0.98489
582.8	0.98502
583.0	0.98429
583.2	0.98135
583.4	0.98438
583.6	0.98264
583.8	0.9747
584.0	0.97938
584.2	0.97485
584.4	0.97465
584.6	0.98032
584.8	0.97996
585.0	0.97614
585.2	0.97524
585.4	0.97634
585.6	0.9759
585.8	0.96895
586.0	0.97452
586.2	0.97575
586.4	0.97825
586.6	0.97809
586.8	0.97428
587.0	0.97332
587.2	0.97513
587.4	0.9758
587.6	0.97737
587.8	0.97572
588.0	0.97323
588.2	0.97689
588.4	0.97931
588.6	0.97803
588.8	0.98128
589.0	0.98222
589.2	0.98247
589.4	0.97774
589.6	0.97954
589.8	0.98867
590.0	0.98753
590.2	0.98283
590.4	0.97901
590.6	0.98134
590.8	0.98473
591.0	0.98089
591.2	0.985
591.4	0.98835
591.6	0.98852
591.8	0.98558
592.0	0.98921
592.2	0.98934
592.4	0.98814
592.6	0.98423
592.8	0.98496
593.0	0.97502
593.2	0.98113
593.4	0.9878
593.6	0.98911
593.8	0.98075
594.0	0.98077
594.2	0.98594
594.4	0.98115
594.6	0.97943
594.8	0.98052
595.0	0.97752
595.2	0.97322
595.4	0.96927
595.6	0.96924
595.8	0.97808
596.0	0.98236
596.2	0.98033
596.4	0.98112
596.6	0.97164
596.8	0.98186
597.0	0.9802
597.2	0.97314
597.4	0.97612
597.6	0.97699
597.8	0.97388
598.0	0.9771
598.2	0.98279
598.4	0.98016
598.6	0.97724
598.8	0.97431
599.0	0.97565
599.2	0.98022
599.4	0.9801
599.6	0.97837
599.8	0.97742
