Typical Measured Spectrum of Semrock FF01-457/530/628 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
375.0	2.0074e-07
375.2	2.0943e-07
375.4	2.185e-07
375.6	2.2795e-07
375.8	2.3782e-07
376.0	2.4811e-07
376.2	2.5885e-07
376.4	2.631e-07
376.6	2.4674e-07
376.8	2.314e-07
377.0	2.1701e-07
377.2	2.0352e-07
377.4	1.9087e-07
377.6	1.79e-07
377.8	1.6788e-07
378.0	1.5744e-07
378.2	1.4765e-07
378.4	1.3995e-07
378.6	1.4766e-07
378.8	1.5579e-07
379.0	1.6437e-07
379.2	1.7343e-07
379.4	1.8298e-07
379.6	1.9306e-07
379.8	2.037e-07
380.0	2.1492e-07
380.2	2.2676e-07
380.4	2.3925e-07
380.6	2.1493e-07
380.8	1.9111e-07
381.0	1.6993e-07
381.2	1.511e-07
381.4	1.3435e-07
381.6	1.1946e-07
381.8	1.0622e-07
382.0	9.445e-08
382.2	8.3982e-08
382.4	7.4675e-08
382.6	6.6399e-08
382.8	5.904e-08
383.0	5.3547e-08
383.2	4.9833e-08
383.4	4.6375e-08
383.6	4.3158e-08
383.8	4.0164e-08
384.0	3.7377e-08
384.2	3.4784e-08
384.4	3.2371e-08
384.6	3.0125e-08
384.8	2.8035e-08
385.0	2.878e-07
385.2	3.5396e-07
385.4	4.2996e-07
385.6	3.2184e-07
385.8	2.4091e-07
386.0	2.7267e-07
386.2	4.7461e-07
386.4	8.2609e-07
386.6	9.2938e-07
386.8	1.0456e-06
387.0	5.5112e-07
387.2	2.8828e-07
387.4	2.1106e-07
387.6	2.3116e-07
387.8	2.5318e-07
388.0	3.944e-07
388.2	6.1333e-07
388.4	6.7177e-07
388.6	7.3579e-07
388.8	6.36e-07
389.0	4.2092e-07
389.2	2.7858e-07
389.4	2.3045e-07
389.6	1.9194e-07
389.8	2.501e-07
390.0	3.259e-07
390.2	4.3296e-07
390.4	5.8738e-07
390.6	7.9688e-07
390.8	7.6645e-07
391.0	7.2571e-07
391.2	4.1377e-07
391.4	2.3591e-07
391.6	2.0354e-07
391.8	2.7027e-07
392.0	3.5888e-07
392.2	2.5181e-07
392.4	1.7668e-07
392.6	2.9984e-07
392.8	5.1112e-07
393.0	7.1778e-07
393.2	8.029e-07
393.4	8.9811e-07
393.6	9.6506e-07
393.8	1.037e-06
394.0	5.0549e-07
394.2	2.4641e-07
394.4	2.2207e-07
394.6	4.0589e-07
394.8	7.4188e-07
395.0	3.4731e-07
395.2	1.658e-07
395.4	2.8543e-07
395.6	4.9137e-07
395.8	6.2958e-07
396.0	5.858e-07
396.2	5.4506e-07
396.4	5.9596e-07
396.6	6.4314e-07
396.8	3.6564e-07
397.0	2.0787e-07
397.2	2.0067e-07
397.4	3.3986e-07
397.6	5.7562e-07
397.8	3.7438e-07
398.0	2.435e-07
398.2	2.4009e-07
398.4	2.3772e-07
398.6	2.7549e-07
398.8	3.8548e-07
399.0	5.3938e-07
399.2	1.0624e-06
399.4	2.0926e-06
399.6	8.7062e-07
399.8	3.594e-07
400.0	2.6427e-07
400.2	3.8269e-07
400.4	5.5418e-07
400.6	3.4794e-07
400.8	2.2064e-07
401.0	3.7543e-07
401.2	6.3879e-07
401.4	6.5384e-07
401.6	3.8162e-07
401.8	2.2273e-07
402.0	2.1587e-07
402.2	2.1127e-07
402.4	3.9282e-07
402.6	7.3038e-07
402.8	9.5851e-07
403.0	8.6245e-07
403.2	7.7601e-07
403.4	1.1197e-06
403.6	1.5585e-06
403.8	6.7642e-07
404.0	2.9357e-07
404.2	2.227e-07
404.4	2.9863e-07
404.6	4.0044e-07
404.8	9.1474e-07
405.0	2.0896e-06
405.2	1.8336e-06
405.4	1.5935e-06
405.6	1.1445e-06
405.8	6.5425e-07
406.0	3.74e-07
406.2	3.6904e-07
406.4	3.648e-07
406.6	5.1652e-07
406.8	7.3134e-07
407.0	6.5588e-07
407.2	3.5147e-07
407.4	1.8835e-07
407.6	1.82e-07
407.8	1.7592e-07
408.0	1.7393e-07
408.2	1.7195e-07
408.4	1.7158e-07
408.6	1.7291e-07
408.8	1.7426e-07
409.0	1.7253e-07
409.2	1.7079e-07
409.4	1.6852e-07
409.6	1.6628e-07
409.8	1.658e-07
410.0	1.6716e-07
410.2	1.6852e-07
410.4	1.6625e-07
410.6	1.6401e-07
410.8	1.6179e-07
411.0	1.596e-07
411.2	1.5898e-07
411.4	1.6016e-07
411.6	1.6135e-07
411.8	1.6e-07
412.0	1.597e-07
412.2	2.4394e-07
412.4	3.726e-07
412.6	4.7992e-07
412.8	5.1391e-07
413.0	5.5031e-07
413.2	2.9354e-07
413.4	1.5657e-07
413.6	2.3542e-07
413.8	3.5961e-07
414.0	4.4562e-07
414.2	4.2981e-07
414.4	4.1456e-07
414.6	2.5018e-07
414.8	1.5177e-07
415.0	2.6003e-07
415.2	4.455e-07
415.4	5.4228e-07
415.6	4.5239e-07
415.8	3.7741e-07
416.0	2.3608e-07
416.2	1.4938e-07
416.4	1.4813e-07
416.6	1.4689e-07
416.8	1.5255e-07
417.0	1.6609e-07
417.2	1.8082e-07
417.4	2.8203e-07
417.6	4.3988e-07
417.8	2.8147e-07
418.0	1.8011e-07
418.2	1.7497e-07
418.4	2.7217e-07
418.6	4.2337e-07
418.8	2.4354e-07
419.0	1.4124e-07
419.2	1.3974e-07
419.4	1.3825e-07
419.6	1.8281e-07
419.8	3.2897e-07
420.0	5.9197e-07
420.2	4.0358e-07
420.4	2.7514e-07
420.6	2.0729e-07
420.8	1.5617e-07
421.0	1.4227e-07
421.2	1.6056e-07
421.4	1.8119e-07
421.6	3.1419e-07
421.8	5.4091e-07
422.0	7.0371e-07
422.2	9.1551e-07
422.4	9.0016e-07
422.6	6.613e-07
422.8	4.8582e-07
423.0	6.6772e-07
423.2	9.1272e-07
423.4	4.1911e-07
423.6	1.9245e-07
423.8	1.2836e-07
424.0	1.2933e-07
424.2	1.3031e-07
424.4	1.2956e-07
424.6	1.2881e-07
424.8	2.3988e-07
425.0	4.4956e-07
425.2	4.7345e-07
425.4	2.5347e-07
425.6	1.357e-07
425.8	1.3147e-07
426.0	1.2744e-07
426.2	1.2649e-07
426.4	1.2555e-07
426.6	2.2548e-07
426.8	7.6001e-07
427.0	2.5618e-06
427.2	3.2577e-06
427.4	1.3257e-07
427.6	1.3899e-07
427.8	1.4572e-07
428.0	1.4566e-07
428.2	1.3799e-07
