Typical Measured Spectrum of Semrock FF01-407/494/576 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
443.6	5.1481e-08
443.8	4.5525e-08
444.0	3.4294e-08
444.2	3.337e-08
444.4	8.5053e-08
444.6	2.1678e-07
444.8	1.3408e-07
445.0	4.2592e-08
445.2	2.5853e-08
445.4	2.5576e-08
445.6	2.5304e-08
445.8	2.5083e-08
446.0	2.4864e-08
446.2	2.4699e-08
446.4	2.4584e-08
446.6	3.064e-08
446.8	5.278e-08
447.0	9.0918e-08
447.2	9.6868e-08
447.4	9.6664e-08
447.6	7.6671e-08
447.8	3.9703e-08
448.0	2.7635e-08
448.2	4.7857e-08
448.4	8.2876e-08
448.6	6.5652e-08
448.8	3.8078e-08
449.0	2.4452e-08
449.2	2.4587e-08
449.4	2.6044e-08
449.6	4.0415e-08
449.8	6.2716e-08
450.0	5.7941e-08
450.2	3.7608e-08
450.4	2.6208e-08
450.6	5.0743e-08
450.8	9.8247e-08
451.0	1.2341e-07
451.2	1.5296e-07
451.4	1.5571e-07
451.6	1.2338e-07
451.8	9.7756e-08
452.0	7.008e-08
452.2	4.9775e-08
452.4	3.6976e-08
452.6	2.7749e-08
452.8	2.2538e-08
453.0	2.2321e-08
453.2	2.2106e-08
453.4	4.8407e-08
453.6	1.3713e-07
453.8	1.109e-07
454.0	4.6342e-08
454.2	2.169e-08
454.4	2.1685e-08
454.6	2.168e-08
454.8	4.0663e-08
455.0	1.1602e-07
455.2	1.2553e-07
455.4	5.2512e-08
455.6	2.1966e-08
455.8	2.1412e-08
456.0	2.133e-08
456.2	2.6906e-08
456.4	4.5295e-08
456.6	5.4858e-08
456.8	3.5557e-08
457.0	2.3046e-08
457.2	2.6819e-08
457.4	3.5487e-08
457.6	3.944e-08
457.8	2.8597e-08
458.0	2.4071e-08
458.2	3.7507e-08
458.4	5.8443e-08
458.6	5.0731e-08
458.8	3.3012e-08
459.0	2.2811e-08
459.2	2.28e-08
459.4	2.2779e-08
459.6	2.2566e-08
459.8	2.2356e-08
460	7.2373e-08
460.2	3.303e-08
460.4	2.0092e-08
460.6	1.9936e-08
460.8	1.978e-08
461	1.9729e-08
461.2	1.9696e-08
461.4	1.9692e-08
461.6	1.9697e-08
461.8	2.0984e-08
462	2.7603e-08
462.2	3.631e-08
462.4	3.1253e-08
462.6	2.2428e-08
462.8	1.962e-08
463	1.9533e-08
463.2	1.9448e-08
463.4	1.9383e-08
463.6	1.9319e-08
463.8	2.7871e-08
464	5.4092e-08
464.2	7.7219e-08
464.4	7.7418e-08
464.6	7.7618e-08
464.8	9.083e-08
465	1.0735e-07
465.2	8.3213e-08
465.4	3.5598e-08
465.6	1.9996e-08
465.8	2.0036e-08
466	2.0076e-08
466.2	2.0001e-08
466.4	1.9897e-08
466.6	1.9771e-08
466.8	1.9585e-08
467	1.9382e-08
467.2	1.91e-08
467.4	1.8822e-08
467.6	2.6564e-08
467.8	4.5491e-08
468	7.5455e-08
468.2	1.0007e-07
468.4	1.3084e-07
468.6	1.1563e-07
468.8	1.0218e-07
469	1.1466e-07
469.2	1.6185e-07
469.4	2.2847e-07
469.6	1.9959e-07
469.8	1.7308e-07
470	1.373e-07
470.2	1.0829e-07
470.4	7.2183e-08
470.6	3.7956e-08
470.8	1.9958e-08
471	6.1887e-08
471.2	2.3896e-07
471.4	1.462e-07
471.6	6.3794e-08
471.8	4.445e-08
472	8.3728e-08
472.2	1.5771e-07
472.4	1.7925e-07
472.6	1.7885e-07
472.8	1.4512e-07
473	1.0991e-07
473.2	9.0039e-08
473.4	9.6646e-08
473.6	1.0374e-07
473.8	1.3721e-07
474	1.9846e-07
474.2	2.2394e-07
474.4	2.1631e-07
474.6	2.1539e-07
474.8	2.9158e-07
475	3.9472e-07
475.2	4.7605e-07
475.4	5.2527e-07
475.6	6.4861e-07
475.8	8.9046e-07
476	1.2225e-06
476.2	1.8768e-06
476.4	2.8845e-06
476.6	4.7947e-06
476.8	8.7216e-06
477	1.4114e-05
477.2	2.4441e-05
477.4	4.3844e-05
477.6	8.0897e-05
477.8	0.00015747
478	0.00032308
478.2	0.00070098
478.4	0.00144
478.6	0.00293
478.8	0.00587
479	0.01091
479.2	0.01879
479.4	0.03047
479.6	0.04771
479.8	0.07187
480	0.10867
480.2	0.15386
480.4	0.19524
480.6	0.22115
480.8	0.23281
481	0.23921
481.2	0.25002
481.4	0.27108
481.6	0.30553
481.8	0.35694
482	0.42897
482.2	0.52172
482.4	0.63233
482.6	0.7543
482.8	0.85656
483	0.92624
483.2	0.96
483.4	0.96678
483.6	0.95891
483.8	0.94821
484	0.94258
484.2	0.9407
484.4	0.94495
484.6	0.95312
484.8	0.96324
485	0.97229
485.2	0.97942
485.4	0.98445
485.6	0.98354
485.8	0.98165
486	0.97829
486.2	0.97375
486.4	0.97042
486.6	0.96687
486.8	0.96372
487	0.95995
487.2	0.95521
487.4	0.94885
487.6	0.93919
487.8	0.92678
488	0.91162
488.2	0.89682
488.4	0.8821
488.6	0.86758
488.8	0.85719
489	0.84959
489.2	0.84626
489.4	0.8491
489.6	0.85536
489.8	0.86691
490	0.88197
490.2	0.90065
490.4	0.92045
490.6	0.93934
490.8	0.95676
491	0.97117
491.2	0.98111
491.4	0.98566
491.6	0.98476
491.8	0.98032
492	0.97283
492.2	0.96528
492.4	0.95666
492.6	0.94875
492.8	0.94275
493	0.93954
493.2	0.93835
493.4	0.93736
493.6	0.93812
493.8	0.93809
494	0.93761
494.2	0.93645
494.4	0.93268
494.6	0.9274
494.8	0.92117
495	0.91298
495.2	0.9045
495.4	0.89473
495.6	0.88541
495.8	0.87657
496	0.8693
496.2	0.86236
496.4	0.85667
496.6	0.85187
496.8	0.84876
497	0.84722
497.2	0.84574
497.4	0.8467
497.6	0.84976
497.8	0.85394
498	0.86107
498.2	0.87217
498.4	0.8829
498.6	0.89579
498.8	0.9093
499	0.92375
499.2	0.93792
499.4	0.95039
499.6	0.96108
499.8	0.96754
500	0.97141
500.2	0.97185
500.4	0.96999
500.6	0.96699
500.8	0.96355
501	0.96151
501.2	0.95998
501.4	0.96131
501.6	0.96443
501.8	0.96859
502	0.97281
502.2	0.97486
502.4	0.97394
502.6	0.96863
502.8	0.95983
503	0.94858
503.2	0.9371
503.4	0.92783
503.6	0.92269
503.8	0.9252
