X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
0.817568	0.982975	0.182432	0.017025	0.000122	0.001570	0.999878	0.998430	0.833430	15.104238	0.185971	0.261599	0.001062	0.019255	8.705010	12.245021	0	0	19	0	0	3
0.785454	0.982975	0.214546	0.017025	0.000100	0.001570	0.999900	0.998430	1.057340	15.104238	0.288812	0.261599	0.001348	0.019255	13.518815	12.245021	0	0	20	0	0	3
0.084372	0.982975	0.915628	0.017025	0.000003	0.001570	0.999997	0.998430	0.000683	15.104238	0.007407	0.261599	0.000001	0.019255	0.346703	12.245021	0	0	21	0	0	3
0.084372	0.982975	0.915628	0.017025	0.000003	0.001570	0.999997	0.998430	0.000683	15.104238	0.007407	0.261599	0.000001	0.019255	0.346703	12.245021	0	0	22	0	0	3
0.983969	0.989637	0.016031	0.010363	0.001669	0.002594	0.998331	0.997406	15.607960	20.843400	0.254283	0.218260	0.019897	0.026572	11.902574	10.216393	0	0	0	0	0	4
0.981922	0.989637	0.018078	0.010363	0.001477	0.002594	0.998523	0.997406	14.263656	20.843400	0.262612	0.218260	0.018184	0.026572	12.292450	10.216393	0	0	1	0	0	4
0.983663	0.989637	0.016337	0.010363	0.001637	0.002594	0.998363	0.997406	15.314466	20.843400	0.254340	0.218260	0.019523	0.026572	11.905255	10.216393	0	0	2	0	0	4
0.982975	0.989637	0.017025	0.010363	0.001570	0.002594	0.998430	0.997406	15.104238	20.843400	0.261599	0.218260	0.019255	0.026572	12.245021	10.216393	0	0	3	0	0	4
0.989637	0.989637	0.010363	0.010363	0.002594	0.002594	0.997406	0.997406	20.843400	20.843400	0.218260	0.218260	0.026572	0.026572	10.216393	10.216393	0	0	4	0	0	4
0.985653	0.989637	0.014347	0.010363	0.001868	0.002594	0.998132	0.997406	22.107255	20.843400	0.321788	0.218260	0.028183	0.026572	15.062372	10.216393	0	0	5	0	0	4
0.929168	0.989637	0.070832	0.010363	0.000357	0.002594	0.999643	0.997406	0.000388	20.843400	0.000030	0.218260	0.000000	0.026572	0.001384	10.216393	0	0	6	0	0	4
1.000000	0.989637	0.000000	0.010363	0.994594	0.002594	0.005406	0.997406	25.134895	20.843400	0.000004	0.218260	0.032042	0.026572	0.000174	10.216393	0	0	7	0	0	4
0.776952	0.989637	0.223048	0.010363	0.000095	0.002594	0.999905	0.997406	1.170035	20.843400	0.335895	0.218260	0.001492	0.026572	15.722675	10.216393	0	0	8	0	0	4
1.000000	0.989637	0.000000	0.010363	0.999182	0.002594	0.000818	0.997406	21.003462	20.843400	0.000000	0.218260	0.026776	0.026572	0.000022	10.216393	0	0	9	0	0	4
0.753665	0.989637	0.246335	0.010363	0.000083	0.002594	0.999917	0.997406	0.730689	20.843400	0.238825	0.218260	0.000931	0.026572	11.178995	10.216393	0	0	10	0	0	4
0.937920	0.989637	0.062080	0.010363	0.000411	0.002594	0.999589	0.997406	0.000479	20.843400	0.000032	0.218260	0.000001	0.026572	0.001483	10.216393	0	0	11	0	0	4
1.000000	0.989637	0.000000	0.010363	0.990061	0.002594	0.009939	0.997406	14.324270	20.843400	0.000004	0.218260	0.018261	0.026572	0.000183	10.216393	0	0	12	0	0	4
0.769850	0.989637	0.230150	0.010363	0.000091	0.002594	0.999909	0.997406	1.097756	20.843400	0.328179	0.218260	0.001399	0.026572	15.361513	10.216393	0	0	13	0	0	4
0.984770	0.989637	0.015230	0.010363	0.001758	0.002594	0.998242	0.997406	21.621185	20.843400	0.334382	0.218260	0.027563	0.026572	15.651848	10.216393	0	0	14	0	0	4
0.989698	0.989637	0.010302	0.010363	0.002609	0.002594	0.997391	0.997406	21.938278	20.843400	0.228369	0.218260	0.027967	0.026572	10.689586	10.216393	0	0	15	0	0	4
0.985858	0.989637	0.014142	0.010363	0.001895	0.002594	0.998105	0.997406	15.374403	20.843400	0.220550	0.218260	0.019600	0.026572	10.323564	10.216393	0	0	16	0	0	4
1.000000	0.989637	0.000000	0.010363	0.991264	0.002594	0.008736	0.997406	16.316517	20.843400	0.000004	0.218260	0.020801	0.026572	0.000183	10.216393	0	0	17	0	0	4
1.000000	0.989637	0.000000	0.010363	0.991703	0.002594	0.008297	0.997406	17.187129	20.843400	0.000004	0.218260	0.021910	0.026572	0.000183	10.216393	0	0	18	0	0	4
0.817568	0.989637	0.182432	0.010363	0.000122	0.002594	0.999878	0.997406	0.833430	20.843400	0.185971	0.218260	0.001062	0.026572	8.705010	10.216393	0	0	19	0	0	4
0.785454	0.989637	0.214546	0.010363	0.000100	0.002594	0.999900	0.997406	1.057340	20.843400	0.288812	0.218260	0.001348	0.026572	13.518815	10.216393	0	0	20	0	0	4
0.084372	0.989637	0.915628	0.010363	0.000003	0.002594	0.999997	0.997406	0.000683	20.843400	0.007407	0.218260	0.000001	0.026572	0.346703	10.216393	0	0	21	0	0	4
0.084372	0.989637	0.915628	0.010363	0.000003	0.002594	0.999997	0.997406	0.000683	20.843400	0.007407	0.218260	0.000001	0.026572	0.346703	10.216393	0	0	22	0	0	4
0.983969	0.985653	0.016031	0.014347	0.001669	0.001868	0.998331	0.998132	15.607960	22.107255	0.254283	0.321788	0.019897	0.028183	11.902574	15.062372	0	0	0	0	0	5
0.981922	0.985653	0.018078	0.014347	0.001477	0.001868	0.998523	0.998132	14.263656	22.107255	0.262612	0.321788	0.018184	0.028183	12.292450	15.062372	0	0	1	0	0	5
0.983663	0.985653	0.016337	0.014347	0.001637	0.001868	0.998363	0.998132	15.314466	22.107255	0.254340	0.321788	0.019523	0.028183	11.905255	15.062372	0	0	2	0	0	5
0.982975	0.985653	0.017025	0.014347	0.001570	0.001868	0.998430	0.998132	15.104238	22.107255	0.261599	0.321788	0.019255	0.028183	12.245021	15.062372	0	0	3	0	0	5
0.989637	0.985653	0.010363	0.014347	0.002594	0.001868	0.997406	0.998132	20.843400	22.107255	0.218260	0.321788	0.026572	0.028183	10.216393	15.062372	0	0	4	0	0	5
0.985653	0.985653	0.014347	0.014347	0.001868	0.001868	0.998132	0.998132	22.107255	22.107255	0.321788	0.321788	0.028183	0.028183	15.062372	15.062372	0	0	5	0	0	5
0.929168	0.985653	0.070832	0.014347	0.000357	0.001868	0.999643	0.998132	0.000388	22.107255	0.000030	0.321788	0.000000	0.028183	0.001384	15.062372	0	0	6	0	0	5
1.000000	0.985653	0.000000	0.014347	0.994594	0.001868	0.005406	0.998132	25.134895	22.107255	0.000004	0.321788	0.032042	0.028183	0.000174	15.062372	0	0	7	0	0	5
0.776952	0.985653	0.223048	0.014347	0.000095	0.001868	0.999905	0.998132	1.170035	22.107255	0.335895	0.321788	0.001492	0.028183	15.722675	15.062372	0	0	8	0	0	5
1.000000	0.985653	0.000000	0.014347	0.999182	0.001868	0.000818	0.998132	21.003462	22.107255	0.000000	0.321788	0.026776	0.028183	0.000022	15.062372	0	0	9	0	0	5
0.753665	0.985653	0.246335	0.014347	0.000083	0.001868	0.999917	0.998132	0.730689	22.107255	0.238825	0.321788	0.000931	0.028183	11.178995	15.062372	0	0	10	0	0	5
0.937920	0.985653	0.062080	0.014347	0.000411	0.001868	0.999589	0.998132	0.000479	22.107255	0.000032	0.321788	0.000001	0.028183	0.001483	15.062372	0	0	11	0	0	5
1.000000	0.985653	0.000000	0.014347	0.990061	0.001868	0.009939	0.998132	14.324270	22.107255	0.000004	0.321788	0.018261	0.028183	0.000183	15.062372	0	0	12	0	0	5
0.769850	0.985653	0.230150	0.014347	0.000091	0.001868	0.999909	0.998132	1.097756	22.107255	0.328179	0.321788	0.001399	0.028183	15.361513	15.062372	0	0	13	0	0	5
0.984770	0.985653	0.015230	0.014347	0.001758	0.001868	0.998242	0.998132	21.621185	22.107255	0.334382	0.321788	0.027563	0.028183	15.651848	15.062372	0	0	14	0	0	5
0.989698	0.985653	0.010302	0.014347	0.002609	0.001868	0.997391	0.998132	21.938278	22.107255	0.228369	0.321788	0.027967	0.028183	10.689586	15.062372	0	0	15	0	0	5
0.985858	0.985653	0.014142	0.014347	0.001895	0.001868	0.998105	0.998132	15.374403	22.107255	0.220550	0.321788	0.019600	0.028183	10.323564	15.062372	0	0	16	0	0	5
1.000000	0.985653	0.000000	0.014347	0.991264	0.001868	0.008736	0.998132	16.316517	22.107255	0.000004	0.321788	0.020801	0.028183	0.000183	15.062372	0	0	17	0	0	5
1.000000	0.985653	0.000000	0.014347	0.991703	0.001868	0.008297	0.998132	17.187129	22.107255	0.000004	0.321788	0.021910	0.028183	0.000183	15.062372	0	0	18	0	0	5
0.817568	0.985653	0.182432	0.014347	0.000122	0.001868	0.999878	0.998132	0.833430	22.107255	0.185971	0.321788	0.001062	0.028183	8.705010	15.062372	0	0	19	0	0	5
0.785454	0.985653	0.214546	0.014347	0.000100	0.001868	0.999900	0.998132	1.057340	22.107255	0.288812	0.321788	0.001348	0.028183	13.518815	15.062372	0	0	20	0	0	5
0.084372	0.985653	0.915628	0.014347	0.000003	0.001868	0.999997	0.998132	0.000683	22.107255	0.007407	0.321788	0.000001	0.028183	0.346703	15.062372	0	0	21	0	0	5
0.084372	0.985653	0.915628	0.014347	0.000003	0.001868	0.999997	0.998132	0.000683	22.107255	0.007407	0.321788	0.000001	0.028183	0.346703	15.062372	0	0	22	0	0	5
