X111	X112	X121	X122	X211	X212	X221	X222	E111	E112	E121	E122	E211	E212	E221	E222	EX1	DIC1	EM1	EX2	DIC2	EM2
1.000000	0.748975	0.000000	0.251025	0.992810	0.000095	0.007190	0.999905	9.121371	0.511978	0.000002	0.171594	0.026574	0.001492	0.000192	15.722675	0	4	0	0	5	0
1.000000	0.749021	0.000000	0.250979	0.994594	0.000095	0.005406	0.999905	10.973574	0.510822	0.000002	0.171164	0.032042	0.001492	0.000174	15.722675	0	5	0	0	5	0
1.000000	0.749008	0.000000	0.250992	0.993103	0.000095	0.006897	0.999905	9.212649	0.511485	0.000002	0.171399	0.026866	0.001492	0.000187	15.722675	0	6	0	0	5	0
1.000000	0.749182	0.000000	0.250818	0.994448	0.000095	0.005552	0.999905	10.624305	0.508648	0.000002	0.170290	0.031155	0.001492	0.000174	15.722675	0	7	0	0	5	0
1.000000	0.749021	0.000000	0.250979	0.994594	0.000095	0.005406	0.999905	10.973574	0.510822	0.000002	0.171164	0.032042	0.001492	0.000174	15.722675	0	8	0	0	5	0
1.000000	0.748992	0.000000	0.251008	0.994550	0.000095	0.005450	0.999905	10.575708	0.502514	0.000002	0.168407	0.031391	0.001492	0.000172	15.722675	0	9	0	0	5	0
1.000000	0.749025	0.000000	0.250975	0.994216	0.000095	0.005784	0.999905	8.353928	0.510460	0.000002	0.171039	0.024410	0.001492	0.000142	15.722675	0	10	0	0	5	0
1.000000	0.749092	0.000000	0.250908	0.995862	0.000095	0.004138	0.999905	10.809142	0.512946	0.000001	0.171811	0.031432	0.001492	0.000131	15.722675	0	11	0	0	5	0
1.000000	0.749092	0.000000	0.250908	0.995862	0.000095	0.004138	0.999905	10.809142	0.512946	0.000001	0.171811	0.031432	0.001492	0.000131	15.722675	0	12	0	0	5	0
1.000000	0.748688	0.000000	0.251312	0.993912	0.000095	0.006088	0.999905	9.189198	0.473485	0.000002	0.158935	0.024719	0.001274	0.000151	13.443603	0	0	0	0	6	0
1.000000	0.748745	0.000000	0.251255	0.993494	0.000095	0.006506	0.999905	9.242490	0.478829	0.000002	0.160680	0.024585	0.001274	0.000161	13.443603	0	1	0	0	6	0
1.000000	0.748650	0.000000	0.251350	0.992857	0.000095	0.007143	0.999905	8.880569	0.473574	0.000002	0.158996	0.023884	0.001274	0.000172	13.443603	0	2	0	0	6	0
1.000000	0.748844	0.000000	0.251156	0.994550	0.000095	0.005450	0.999905	10.236603	0.471198	0.000002	0.158036	0.027670	0.001274	0.000152	13.443603	0	3	0	0	6	0
1.000000	0.748672	0.000000	0.251328	0.992812	0.000095	0.007188	0.999905	9.121371	0.474908	0.000002	0.159426	0.024463	0.001274	0.000177	13.443603	0	4	0	0	6	0
1.000000	0.748719	0.000000	0.251281	0.994596	0.000095	0.005404	0.999905	10.973574	0.473836	0.000002	0.159027	0.029497	0.001274	0.000160	13.443603	0	5	0	0	6	0
1.000000	0.748705	0.000000	0.251295	0.993105	0.000095	0.006895	0.999905	9.212649	0.474450	0.000002	0.159244	0.024731	0.001274	0.000172	13.443603	0	6	0	0	6	0
1.000000	0.748879	0.000000	0.251121	0.994450	0.000095	0.005550	0.999905	10.624305	0.471819	0.000002	0.158214	0.028680	0.001274	0.000160	13.443603	0	7	0	0	6	0
1.000000	0.748719	0.000000	0.251281	0.994596	0.000095	0.005404	0.999905	10.973574	0.473836	0.000002	0.159027	0.029497	0.001274	0.000160	13.443603	0	8	0	0	6	0
1.000000	0.748689	0.000000	0.251311	0.994551	0.000095	0.005449	0.999905	10.575708	0.466129	0.000002	0.156465	0.028897	0.001274	0.000158	13.443603	0	9	0	0	6	0
1.000000	0.748723	0.000000	0.251277	0.994218	0.000095	0.005782	0.999905	8.353928	0.473500	0.000002	0.158910	0.022471	0.001274	0.000131	13.443603	0	10	0	0	6	0
