lambda_chroma_emD535_30m	chroma_emD535_30m
774.00	4.054E-06
775.00	2.150E-05
776.00	-1.856E-06
777.00	2.555E-05
778.00	4.242E-06
779.00	-2.327E-06
780.00	-2.808E-07
781.00	1.264E-05
782.00	-2.000E-06
783.00	4.255E-06
784.00	4.072E-06
785.00	3.485E-05
786.00	4.748E-07
787.00	1.715E-05
788.00	-2.170E-06
789.00	1.718E-05
790.00	1.718E-05
791.00	3.067E-05
792.00	4.486E-06
793.00	8.590E-06
794.00	4.108E-06
795.00	8.347E-06
796.00	-3.913E-07
797.00	8.076E-06
798.00	1.724E-05
799.00	8.214E-06
800.00	-4.376E-07
801.00	-2.804E-06
802.00	4.366E-06
803.00	-3.708E-08
804.00	4.116E-06
805.00	-2.433E-06
806.00	8.257E-06
807.00	8.168E-06
808.00	-4.080E-06
809.00	8.613E-06
810.00	-6.842E-08
811.00	-2.378E-06
812.00	-4.755E-06
813.00	1.264E-05
814.00	4.414E-06
815.00	-2.203E-06
816.00	3.980E-06
817.00	8.212E-06
818.00	-1.910E-06
819.00	4.308E-06
820.00	-1.359E-07
821.00	1.261E-05
822.00	8.638E-06
823.00	1.271E-05
824.00	8.228E-07
825.00	4.527E-06
826.00	1.684E-05
827.00	1.248E-05
828.00	3.018E-07
829.00	1.246E-05
830.00	-9.763E-06
831.00	2.072E-05
832.00	6.551E-07
833.00	1.235E-05
834.00	-1.579E-06
835.00	1.225E-05
836.00	-1.595E-06
837.00	1.213E-05
838.00	4.464E-06
839.00	3.211E-05
840.00	-9.788E-07
841.00	1.590E-05
842.00	8.618E-06
843.00	8.229E-06
844.00	4.827E-06
845.00	2.311E-05
846.00	-3.200E-06
847.00	1.460E-07
848.00	3.324E-06
849.00	2.695E-06
850.00	2.070E-06
